chromosome,start,end,T_pooled_myr,genes,genes_renamed,descriptions,gene_biotypes,SRA_overlap_percent,tr_overlap_percent
chr10_hap1_hsa12,17362000,17363000,6.529153369,KLRD1,KLRD1,killer cell lectin like receptor D1,protein_coding,89.4,10.1
chr3_hap1_hsa4,1374000,1375000,6.52464548,LOC461056,IDUA,alpha-L-iduronidase,protein_coding,13.4,78.2
chr5_hap1_hsa6,55337000,55338000,6.522419764,CENPQ,CENPQ,centromere protein Q,protein_coding,95.9,0
chr19_hap1_hsa17,13589000,13590000,6.520059551,OR1D2,OR1D2,olfactory receptor family 1 subfamily D member 2,protein_coding,99.9,0
chr6_hap1_hsa7,14458000,14459000,6.518768093,NXPH1,NXPH1,neurexophilin 1,protein_coding,99.8,2
chr2_hap1_hsa3,34772000,34773000,6.499706819,GADL1,GADL1,glutamate decarboxylase like 1,protein_coding,98.8,0
chr16_hap1_hsa15,6957000,6958000,6.499350351,LOC129137183,GOLGA8IP,putative golgin subfamily A member 8I,protein_coding,0,0
chr8_hap1_hsa10,67178000,67179000,6.49415539,PCDH15,PCDH15,protocadherin related 15,protein_coding,68.3,1.2
chr3_hap1_hsa4,187469000,187470000,6.491362869,SORBS2,SORBS2,sorbin and SH3 domain containing 2,protein_coding,0,100
chr1_hap1_hsa1,127573000,127574000,6.484237237,AMY2B,AMY2B,amylase alpha 2B,protein_coding,100,0
chr6_hap1_hsa7,75752000,75753000,6.482307522,LOC134810622,MUTL,DNA mismatch repair protein MutL-like,protein_coding,0,9.4
chr1_hap1_hsa1,228204000,228205000,6.479853809,DFFB,DFFB,DNA fragmentation factor subunit beta,protein_coding,0,89.3
chr4_hap1_hsa5,1054000,1055000,6.466828564,AHRR,AHRR,aryl hydrocarbon receptor repressor,protein_coding,51,5.3
chr10_hap1_hsa12,131989000,131990000,6.463763943,TMEM132B,TMEM132B,transmembrane protein 132B,protein_coding,0,46.8
chr2_hap1_hsa3,198908000,198909000,6.463175745,MUC20,MUC20,mucin 20%2C cell surface associated,protein_coding,0,22.3
chr10_hap1_hsa12,8969000,8970000,6.462425273,CACNA2D4,CACNA2D4,calcium voltage-gated channel auxiliary subunit alpha2delta 4,protein_coding,16.9,85.8
chr9_hap1_hsa11,8841000,8842000,6.45610334,LOC104008398,OR51F2,olfactory receptor 51F2,protein_coding,99.9,0
chr9_hap1_hsa11,8841000,8842000,6.45610334,OR51E2,OR51E2,olfactory receptor family 51 subfamily E member 2,protein_coding,99.9,0
chr20_hap1_hsa19,57492000,57493000,6.455112176,LILRB4,LILRB4,leukocyte immunoglobulin like receptor B4,protein_coding,87.3,1.5
chr18_hap1_hsa16,9865000,9866000,6.451838643,RBFOX1,RBFOX1,RNA binding fox-1 homolog 1,protein_coding,38.6,1.7
chr9_hap1_hsa11,7342000,7343000,6.447515602,OSBPL5,OSBPL5,oxysterol binding protein like 5,protein_coding,0,0
chr17_hap1_hsa18,73574000,73575000,6.44687794,SERPINB12,SERPINB12,serpin family B member 12,protein_coding,51.9,5.1
chr18_hap1_hsa16,3851000,3852000,6.44567573,CLCN7,CLCN7,chloride voltage-gated channel 7,protein_coding,3.3,92.6
chr6_hap1_hsa7,8880000,8881000,6.44560152,CARD11,CARD11,caspase recruitment domain family member 11,protein_coding,49.5,27.4
chr2_hap1_hsa3,42880000,42881000,6.443132829,SCN11A,SCN11A,sodium voltage-gated channel alpha subunit 11,protein_coding,0,1.9
chr12_hap1_hsa2a,25575000,25576000,6.433554155,LOC741694,ANKRD36B,ankyrin repeat domain-containing protein 36B,protein_coding,6.8,6.7
chr18_hap1_hsa16,21669000,21670000,6.412185387,TMC7,TMC7,transmembrane channel like 7,protein_coding,88.1,4.4
chr10_hap1_hsa12,25432000,25433000,6.401149825,PIK3C2G,PIK3C2G,phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 gamma,protein_coding,91.8,0.1
chr12_hap1_hsa2a,119351000,119352000,6.397458454,ADI1,ADI1,acireductone dioxygenase 1,protein_coding,42.5,27.3
chr3_hap1_hsa4,65578000,65579000,6.392521971,TECRL,TECRL,trans-2%2C3-enoyl-CoA reductase like,protein_coding,59.9,0
chr10_hap1_hsa12,84444000,84445000,6.38972566,NAV3,NAV3,neuron navigator 3,protein_coding,100,1.4
chr1_hap1_hsa1,205640000,205641000,6.383978086,LOC107971361,RH-like-IC,RH-like protein IC,protein_coding,4,3.9
chr7_hap1_hsa8,151544000,151545000,6.381802916,SLC45A4,SLC45A4,solute carrier family 45 member 4,protein_coding,84.4,14.5
chr8_hap1_hsa10,28823000,28824000,6.378881923,ITGA8,ITGA8,integrin subunit alpha 8,protein_coding,93.5,7
chr1_hap1_hsa1,229718000,229719000,6.376811713,SKI,SKI,SKI proto-oncogene,protein_coding,0,0
chr2_hap1_hsa3,5236000,5237000,6.373858196,CNTN6,CNTN6,contactin 6,protein_coding,60.7,0
chr1_hap1_hsa1,205550000,205551000,6.370786373,LOC112209443,RH-like-IIR,RH-like protein IIR,protein_coding,24.4,3.1
chr19_hap1_hsa17,14201000,14202000,6.367976391,P2RX5,P2RX5,purinergic receptor P2X 5,protein_coding,0,100
chr20_hap1_hsa19,2970000,2971000,6.366272434,PRSS57,PRSS57,serine protease 57,protein_coding,5.3,10
chr18_hap1_hsa16,82201000,82202000,6.359147718,SLC38A8,SLC38A8,solute carrier family 38 member 8,protein_coding,0,0
chr8_hap1_hsa10,26789000,26790000,6.351792527,FRMD4A,FRMD4A,FERM domain containing 4A,protein_coding,84.6,2.1
chr19_hap1_hsa17,93346000,93347000,6.350645252,LOC112208018,EIF4A-III,eukaryotic initiation factor 4A-III,protein_coding,0,3.6
chr8_hap1_hsa10,145594000,145595000,6.348251181,CALY,CALY,calcyon neuron specific vesicular protein;proline rich acidic protein 1,protein_coding,7,0
chr8_hap1_hsa10,145689000,145690000,6.344707157,SPRN,SPRN,shadow of prion protein,protein_coding,50.4,1.1
chr20_hap1_hsa19,4611000,4612000,6.34152694,LINGO3,LINGO3,leucine rich repeat and Ig domain containing 3,protein_coding,71.3,3.5
chr5_hap1_hsa6,35392000,35393000,6.339860725,OR10C1,OR10C1,olfactory receptor family 10 subfamily C member 1,protein_coding,99.9,1.6
chr5_hap1_hsa6,35392000,35393000,6.339860725,OR11A1,OR11A1,olfactory receptor family 11 subfamily A member 1,protein_coding,99.9,1.6
chr5_hap1_hsa6,63296000,63297000,6.338914559,PRIM2,PRIM2,DNA primase subunit 2,protein_coding,2.1,3.6
chr5_hap1_hsa6,172744000,172745000,6.337976024,LPA,LPA,lipoprotein(a),protein_coding,0,0.7
chr18_hap1_hsa16,85860000,85861000,6.330903173,JPH3,JPH3,junctophilin 3,protein_coding,30.5,7.8
chr10_hap1_hsa12,135217000,135218000,6.325056104,TMEM132C,TMEM132C,transmembrane protein 132C,protein_coding,0,35.3
chr18_hap1_hsa16,87969000,87970000,6.319599225,FANCA,FANCA,FA complementation group A,protein_coding,0,100
chr12_hap1_hsa2a,73664000,73665000,6.314309988,FSHR,FSHR,follicle stimulating hormone receptor,protein_coding,0,0
chr7_hap1_hsa8,24488000,24489000,6.308639812,MSR1,MSR1,macrophage scavenger receptor 1,protein_coding,44.6,3.7
chr2_hap1_hsa3,72454000,72455000,6.304404773,LOC134806951,TAFA1,TAFA chemokine like family member 1,protein_coding,59.2,8.2
chr2_hap1_hsa3,187138000,187139000,6.301460428,ABCC5,ABCC5,ATP binding cassette subfamily C member 5,protein_coding,0,100
chr18_hap1_hsa16,4716000,4717000,6.30022925,LOC107972351,RRN3P2,putative RRN3-like protein RRN3P2,protein_coding,0,15.5
chr8_hap1_hsa10,34712000,34713000,6.299595435,MLLT10,MLLT10,MLLT10 histone lysine methyltransferase DOT1L cofactor,protein_coding,18.9,81.3
chr20_hap1_hsa19,59141000,59142000,6.298158655,ZSCAN5B,ZSCAN5B,zinc finger and SCAN domain containing 5C;zinc finger and SCAN domain containing 5B,protein_coding;protein_coding,40.4,0.4
chr18_hap1_hsa16,2508000,2509000,6.294967923,HBA1,HBA1,hemoglobin subunit alpha 1,protein_coding,0,1.9
chr5_hap1_hsa6,179290000,179291000,6.293991591,TCP10L2,TCP10L2,t-complex 10 like 2,protein_coding,15.3,3.5
chr3_hap1_hsa4,6696000,6697000,6.287133339,PPP2R2C,PPP2R2C,protein phosphatase 2 regulatory subunit Bgamma,protein_coding,62.9,1.3
chr21_hap1_hsa20,69959000,69960000,6.286606154,GMEB2,GMEB2,glucocorticoid modulatory element binding protein 2,protein_coding,6.4,1.4
chr14_hap1_hsa13,119156000,119157000,6.285205031,TMCO3,TMCO3,transmembrane and coiled-coil domains 3,protein_coding,36.1,48.9
chr1_hap1_hsa1,229822000,229823000,6.283140788,PRKCZ,PRKCZ,protein kinase C zeta,protein_coding,0,3
chr18_hap1_hsa16,82568000,82569000,6.279626969,ATP2C2,ATP2C2,ATPase secretory pathway Ca2+ transporting 2,protein_coding,81.9,3.2
chr4_hap1_hsa5,2122000,2123000,6.274009588,LOC455557,ABHD17A,alpha/beta hydrolase domain-containing protein 17A,protein_coding,6.3,3.6
chr20_hap1_hsa19,57338000,57339000,6.272147558,LAIR2,LAIR2,leukocyte associated immunoglobulin like receptor 2,protein_coding,7.9,1.1
chr8_hap1_hsa10,125762000,125763000,6.252571667,NRAP,NRAP,nebulin related anchoring protein,protein_coding,25.7,71.4
chr6_hap1_hsa7,6795000,6796000,6.25222969,SUN1,SUN1,Sad1 and UNC84 domain containing 1,protein_coding,12.6,66.6
chr18_hap1_hsa16,72025000,72026000,6.251969448,IL34,IL34,interleukin 34,protein_coding,73.9,7.2
chr10_hap1_hsa12,17514000,17515000,6.250599983,KLRC4,KLRC4,killer cell lectin like receptor C4,protein_coding,86.1,0
chr19_hap1_hsa17,12997000,12998000,6.248712081,METTL16,METTL16,methyltransferase 16%2C RNA N6-adenosine,protein_coding,0,100
chr8_hap1_hsa10,25122000,25123000,6.246571206,CDC123,CDC123,cell division cycle 123,protein_coding,1.1,99.2
chr1_hap1_hsa1,2243000,2244000,6.240969133,AHCTF1,AHCTF1,AT-hook containing transcription factor 1,protein_coding,0,100
chr3_hap1_hsa4,188340000,188341000,6.234485122,FAT1,FAT1,FAT atypical cadherin 1,protein_coding,2.5,1.2
chr3_hap1_hsa4,3894000,3895000,6.233004736,DOK7,DOK7,docking protein 7,protein_coding,93.3,1.1
chr20_hap1_hsa19,3319000,3320000,6.230034432,CNN2,CNN2,calponin 2,protein_coding,0.2,1.4
chr3_hap1_hsa4,6283000,6284000,6.228097854,C3H4orf50,C3H4orf50,chromosome 3 C4orf50 homolog,protein_coding,66.6,3.8
chr18_hap1_hsa16,2504000,2505000,6.228052384,HBA2,HBA2,hemoglobin subunit alpha 2,protein_coding,0,3.1
chr5_hap1_hsa6,44173000,44174000,6.223435443,BTBD9,BTBD9,BTB domain containing 9,protein_coding,11.9,0
chr6_hap1_hsa7,126208000,126209000,6.221981638,IMMP2L,IMMP2L,inner mitochondrial membrane peptidase subunit 2,protein_coding,6.9,0
chr18_hap1_hsa16,6992000,6993000,6.221785155,CORO7-PAM16,CORO7-PAM16,CORO7-PAM16 readthrough,protein_coding,0,1.8
chr18_hap1_hsa16,6992000,6993000,6.221785155,PAM16,PAM16,presequence translocase associated motor 16,protein_coding,0,1.8
chr9_hap1_hsa11,9278000,9279000,6.221710121,LOC466370,OR52A5,olfactory receptor 52A5,protein_coding,100,0
chr20_hap1_hsa19,58954000,58955000,6.214033186,NLRP5,NLRP5,NLR family pyrin domain containing 5,protein_coding,91.2,2.9
chr20_hap1_hsa19,57369000,57370000,6.213221666,KIR3DX1,KIR3DX1,killer cell immunoglobulin-like receptor%2C three domains%2C X1,protein_coding,34.1,1.3
chr18_hap1_hsa16,4208000,4209000,6.19687933,HAGH,HAGH,hydroxyacylglutathione hydrolase,protein_coding,0,3.6
chr13_hap1_hsa2b,143790000,143791000,6.185068886,FARP2,FARP2,FERM%2C ARH/RhoGEF and pleckstrin domain protein 2,protein_coding,64,3.4
chr3_hap1_hsa4,60406000,60407000,6.181695841,SULT1B1,SULT1B1,sulfotransferase family 1B member 1,protein_coding,100,0
chr8_hap1_hsa10,12888000,12889000,6.179555051,LOC104001142,IL-9R,interleukin-9 receptor-like,protein_coding,26.4,20.7
chr1_hap1_hsa1,128128000,128129000,6.170260631,COL11A1,COL11A1,collagen type XI alpha 1 chain,protein_coding,0,0
chr17_hap1_hsa18,90413000,90414000,6.163074191,LOC129137914,OR4F3,olfactory receptor 4F3/4F16/4F29,protein_coding,0,1.2
chr1_hap1_hsa1,205740000,205741000,6.162179713,LOC112209447,RPS15A,small ribosomal subunit protein uS8-like,protein_coding,0.8,1.4
chr12_hap1_hsa2a,121468000,121469000,6.161619872,TPO,TPO,thyroid peroxidase,protein_coding,37.3,57.6
chr9_hap1_hsa11,9046000,9047000,6.16012336,LOC100611224,OR51S1,olfactory receptor 51S1,protein_coding,98.5,7.1
chr4_hap1_hsa5,978000,979000,6.159353192,SDHA,SDHA,succinate dehydrogenase complex flavoprotein subunit A,protein_coding,0,100
chr22_hap1_hsa21,22296000,22297000,6.157234967,NCAM2,NCAM2,neural cell adhesion molecule 2,protein_coding,26.3,18.3
chr2_hap1_hsa3,133375000,133376000,6.154155662,LOC742704,COL6A4,collagen alpha-4(VI) chain-like,protein_coding,28,1.2
chr13_hap1_hsa2b,143271000,143272000,6.153223659,CROCC2,CROCC2,ciliary rootlet coiled-coil%2C rootletin family member 2,protein_coding,0,0
chr8_hap1_hsa10,134683000,134684000,6.153133919,DMBT1,DMBT1,deleted in malignant brain tumors 1,protein_coding,4.4,0
chr16_hap1_hsa15,7285000,7286000,6.151943471,HERC2,HERC2,HECT and RLD domain containing E3 ubiquitin protein ligase 2,protein_coding,7.1,7.9
chr2_hap1_hsa3,200152000,200153000,6.150225573,MELTF,MELTF,melanotransferrin,protein_coding,0,83.4
chr1_hap1_hsa1,217997000,217998000,6.146974106,LOC129143379,HNRNPCL2,heterogeneous nuclear ribonucleoprotein C-like 2,protein_coding,0,4.4
chr15_hap1_hsa14,20311000,20312000,6.145847691,LOC748623,TRAV14DV4,T cell receptor alpha variable 14/delta variable 4-like,V_segment,99.8,0
chr2_hap1_hsa3,101553000,101554000,6.144785345,LOC738646,OR5H6,olfactory receptor 5H6-like,protein_coding,92.5,0
chr6_hap1_hsa7,84449000,84450000,6.144456556,LOC745916,MUTL,DNA mismatch repair protein MutL,protein_coding,0,8.4
chr8_hap1_hsa10,136602000,136603000,6.14283936,LHPP,LHPP,phospholysine phosphohistidine inorganic pyrophosphate phosphatase,protein_coding,68.1,4.2
chr14_hap1_hsa13,23711000,23712000,6.141730724,LOC104001782,CCDC144B,putative coiled-coil domain-containing protein 144B,protein_coding,40.6,14.1
chr20_hap1_hsa19,11721000,11722000,6.131313135,MUC16,MUC16,mucin 16%2C cell surface associated,protein_coding,57.7,6.4
chr23_hap1_hsa22,52686000,52687000,6.127422811,SYCE3,SYCE3,synaptonemal complex central element protein 3,protein_coding,0,12.8
chr20_hap1_hsa19,58014000,58015000,6.126778975,PTPRH,PTPRH,protein tyrosine phosphatase receptor type H,protein_coding,70.3,1.5
chr20_hap1_hsa19,59105000,59106000,6.125121353,ZNF444,ZNF444,zinc finger protein 444,protein_coding,13.8,17.9
chr4_hap1_hsa5,177314000,177315000,6.122470331,MRNIP,MRNIP,MRN complex interacting protein,protein_coding,0,100
chr3_hap1_hsa4,4294000,4295000,6.111024399,LOC750576,ALG1,chitobiosyldiphosphodolichol beta-mannosyltransferase-like,protein_coding,26.6,0
chr18_hap1_hsa16,85917000,85918000,6.109691915,KLHDC4,KLHDC4,kelch domain containing 4,protein_coding,0,78.1
chr4_hap1_hsa5,5946000,5947000,6.107200744,ADAMTS16,ADAMTS16,ADAM metallopeptidase with thrombospondin type 1 motif 16,protein_coding,100,1.4
chr16_hap1_hsa15,83842000,83843000,6.106831417,SLCO3A1,SLCO3A1,solute carrier organic anion transporter family member 3A1,protein_coding,30.7,52.2
chr8_hap1_hsa10,25692000,25693000,6.103702831,CAMK1D,CAMK1D,calcium/calmodulin dependent protein kinase ID,protein_coding,50.4,2.5
chr20_hap1_hsa19,16309000,16310000,6.089943032,CACNA1A,CACNA1A,calcium voltage-gated channel subunit alpha1 A,protein_coding,76,3.3
chr3_hap1_hsa4,191115000,191116000,6.087968487,LOC100608599,HSP90AA1,heat shock protein HSP 90-alpha,protein_coding,99.2,0
chr6_hap1_hsa7,93780000,93781000,6.079566463,SEMA3A,SEMA3A,semaphorin 3A,protein_coding,0,5
chr19_hap1_hsa17,95983000,95984000,6.079522427,WDR45B,WDR45B,WD repeat domain 45B,protein_coding,32.3,50
chr8_hap1_hsa10,143433000,143434000,6.073731043,TCERG1L,TCERG1L,transcription elongation regulator 1 like,protein_coding,13.4,88.5
chr10_hap1_hsa12,32087000,32088000,6.070619397,SRGAP1,SRGAP1,SLIT-ROBO Rho GTPase activating protein 1,protein_coding,39.4,1.7
chr19_hap1_hsa17,58862000,58863000,6.069783808,DNAH9,DNAH9,dynein axonemal heavy chain 9,protein_coding,75,1.5
chr3_hap1_hsa4,6428000,6429000,6.069568983,JAKMIP1,JAKMIP1,janus kinase and microtubule interacting protein 1,protein_coding,83.8,5
chr5_hap1_hsa6,35988000,35989000,6.067821378,RNF39,RNF39,ring finger protein 39,protein_coding,97.8,0
chr22_hap1_hsa21,44338000,44339000,6.067270666,PDXK,PDXK,pyridoxal kinase,protein_coding,50.2,49.3
chr8_hap1_hsa10,136717000,136718000,6.066950414,FAM53B,FAM53B,family with sequence similarity 53 member B,protein_coding,27,64.3
chr11_hap1_hsa9,111725000,111726000,6.064725416,GLIS3,GLIS3,GLIS family zinc finger 3,protein_coding,8.8,0
chr3_hap1_hsa4,1323000,1324000,6.058472113,TMEM175,TMEM175,transmembrane protein 175,protein_coding,5.4,8.3
chr18_hap1_hsa16,33330000,33331000,6.0577843,LOC750420,NPIPB15,nuclear pore complex-interacting protein family member B15,protein_coding,0,4.1
chr22_hap1_hsa21,46823000,46824000,6.055167605,FTCD,FTCD,formimidoyltransferase cyclodeaminase,protein_coding,0.2,69.1
chr14_hap1_hsa13,119861000,119862000,6.05333182,CDC16,CDC16,cell division cycle 16,protein_coding,2,75.2
chr18_hap1_hsa16,88052000,88053000,6.052160922,SPIRE2,SPIRE2,spire type actin nucleation factor 2,protein_coding,0,100
chr20_hap1_hsa19,45953000,45954000,6.051762241,LOC107969555,PSG11,pregnancy-specific beta-1-glycoprotein 11,protein_coding,9.5,0
chr16_hap1_hsa15,7016000,7017000,6.05142375,LOC453251,HERC2P3,putative HERC2-like protein 3,protein_coding,22.8,5.5
chr10_hap1_hsa12,54395000,54396000,6.04802221,PDZRN4,PDZRN4,PDZ domain containing ring finger 4,protein_coding,100,1.3
chr14_hap1_hsa13,75664000,75665000,6.037772966,KLHL1,KLHL1,kelch like family member 1,protein_coding,100,9.6
chr18_hap1_hsa16,31965000,31966000,6.034546724,LOC129137424,NPIPB8,nuclear pore complex-interacting protein family member B8-like,protein_coding,0,4.8
chr10_hap1_hsa12,65888000,65889000,6.034109229,TMTC1,TMTC1,transmembrane O-mannosyltransferase targeting cadherins 1,protein_coding,0,5.4
chr8_hap1_hsa10,140279000,140280000,6.032531627,MKI67,MKI67,marker of proliferation Ki-67,protein_coding,60.9,4.2
chr2_hap1_hsa3,66595000,66596000,6.031584297,CADPS,CADPS,calcium dependent secretion activator,protein_coding,24.9,2.2
chr20_hap1_hsa19,37759000,37760000,6.029346989,SCGB2B2,SCGB2B2,secretoglobin family 2B member 2,protein_coding,0,2.6
chr20_hap1_hsa19,9588000,9589000,6.021341775,INSR,INSR,insulin receptor,protein_coding,85.5,0
chr4_hap1_hsa5,89967000,89968000,6.019141734,CDH12,CDH12,cadherin 12,protein_coding,26.8,0
chr3_hap1_hsa4,145570000,145571000,6.017819373,GYPB,GYPB,glycophorin B (MNS blood group),protein_coding,2.9,2
chr2_hap1_hsa3,3778000,3779000,6.013190226,LOC750524,PLA2G4A,cytosolic phospholipase A2 beta,protein_coding,0,2.2
chr10_hap1_hsa12,8843000,8844000,6.005549169,ADIPOR2,ADIPOR2,adiponectin receptor 2,protein_coding,80.2,6.6
chr1_hap1_hsa1,211807000,211808000,6.002409227,CAPZB,CAPZB,capping actin protein of muscle Z-line subunit beta,protein_coding,72.9,7.2
chr6_hap1_hsa7,96169000,96170000,6.001584066,GRM3,GRM3,glutamate metabotropic receptor 3,protein_coding,89.1,3.5
