genes,genes_renamed,descriptions,num_populations,is_shared,Central,Eastern,Western
CCDC77,CCDC77,coiled-coil domain containing 77,2,Yes,7.095163422,7.300715289,NA
FDFT1,FDFT1,farnesyl-diphosphate farnesyltransferase 1,2,Yes,7.090267985,NA,6.325701965
LOC742579,PMS2,mismatch repair endonuclease PMS2,2,Yes,7.088345926,NA,6.373954891
DLG2,DLG2,discs large MAGUK scaffold protein 2,2,Yes,7.06558289,6.003178736,NA
AGR2,AGR2,anterior gradient 2%2C protein disulphide isomerase family member,2,Yes,7.055683245,6.721053726,NA
MROH9,MROH9,maestro heat like repeat family member 9,2,Yes,7.016116593,6.502284795,NA
SAMD5,SAMD5,sterile alpha motif domain containing 5,2,Yes,7.010418413,6.688243969,NA
SEPTIN9,SEPTIN9,septin 9,2,Yes,6.998105505,6.752593391,NA
RAD18,RAD18,RAD18 E3 ubiquitin protein ligase,2,Yes,6.987686852,6.570409903,NA
TOP1MT,TOP1MT,DNA topoisomerase I mitochondrial,2,Yes,6.986363491,NA,6.250778413
TRPV3,TRPV3,transient receptor potential cation channel subfamily V member 3,2,Yes,6.969859647,6.108233538,NA
ARPP21,ARPP21,cAMP regulated phosphoprotein 21,2,Yes,6.965811081,7.686027668,NA
FASTKD1,FASTKD1,FAST kinase domains 1,2,Yes,6.958970111,7.328520063,NA
RNF130,RNF130,ring finger protein 130,2,Yes,6.915156889,6.778449613,NA
MTARC2,MTARC2,mitochondrial amidoxime reducing component 2,2,Yes,6.905602127,6.135089559,NA
RMDN2,RMDN2,regulator of microtubule dynamics 2,2,Yes,6.889140824,6.147449859,NA
JARID2,JARID2,jumonji and AT-rich interaction domain containing 2,2,Yes,6.876154935,6.128172855,NA
GPC5,GPC5,glypican 5,2,Yes,6.874743889,7.204478299,NA
HSBP1L1,HSBP1L1,heat shock factor binding protein 1 like 1,2,Yes,6.830251934,6.03876034,NA
PRRC2B,PRRC2B,proline rich coiled-coil 2B,2,Yes,6.826570763,6.651990927,NA
SNTB1,SNTB1,syntrophin beta 1,2,Yes,6.8265149,6.769869148,NA
ZNF347,ZNF347,zinc finger protein 347,2,Yes,6.771405858,8.186803027,NA
PAK5,PAK5,p21 (RAC1) activated kinase 5,2,Yes,6.763914411,6.335343769,NA
TP63,TP63,tumor protein p63,2,Yes,6.745182995,6.631659165,NA
SMAP1,SMAP1,small ArfGAP 1,2,Yes,6.739377163,6.172626631,NA
MGAT4C,MGAT4C,MGAT4 family member C,2,Yes,6.737093702,6.648814889,NA
SPIRE2,SPIRE2,spire type actin nucleation factor 2,2,Yes,6.725932614,NA,7.267092135
RGS6,RGS6,regulator of G protein signaling 6,2,Yes,6.702800939,7.695014203,NA
RBFOX3,RBFOX3,RNA binding fox-1 homolog 3,2,Yes,6.696436182,6.227848309,NA
CDH12,CDH12,cadherin 12,2,Yes,6.672710822,6.755076005,NA
NECAB2,NECAB2,N-terminal EF-hand calcium binding protein 2,2,Yes,6.669870773,6.883205834,NA
MAP3K21,MAP3K21,mitogen-activated protein kinase kinase kinase 21,2,Yes,6.660295704,6.559241844,NA
SASH1,SASH1,SAM and SH3 domain containing 1,2,Yes,6.659552268,7.199005133,NA
DSCAM,DSCAM,DS cell adhesion molecule,2,Yes,6.657579877,7.134688036,NA
ITGAE,ITGAE,integrin subunit alpha E,2,Yes,6.651645511,6.923246007,NA
SIRPG,SIRPG,signal regulatory protein gamma,2,Yes,6.642046694,6.505055135,NA
CFAP298,CFAP298,cilia and flagella associated protein 298,2,Yes,6.626307837,6.863871167,NA
RPA1,RPA1,replication protein A1,2,Yes,6.622457,7.459709476,NA
DCDC2C,DCDC2C,doublecortin domain containing 2C,2,Yes,6.601622189,6.481138647,NA
MTUS1,MTUS1,microtubule associated scaffold protein 1,2,Yes,6.585048629,NA,6.3997196
MAD1L1,MAD1L1,mitotic arrest deficient 1 like 1,2,Yes,6.560340743,7.348764621,NA
VAV1,VAV1,vav guanine nucleotide exchange factor 1,2,Yes,6.52737123,NA,6.02518452
PLCL2,PLCL2,phospholipase C like 2,2,Yes,6.521639265,7.009963406,NA
DNAJC15,DNAJC15,DnaJ heat shock protein family (Hsp40) member C15,2,Yes,6.477148063,6.38653311,NA
MGAM,MGAM,maltase-glucoamylase,2,Yes,6.47478894,6.345586982,NA
LRP2,LRP2,LDL receptor related protein 2,2,Yes,6.43396442,7.234046882,NA
CACHD1,CACHD1,cache domain containing 1,2,Yes,6.419626576,7.505298929,NA
VPS53,VPS53,VPS53 subunit of GARP complex,2,Yes,6.415479948,6.759097974,NA
MITF,MITF,melanocyte inducing transcription factor,2,Yes,6.365088547,6.070648274,NA
GPC6,GPC6,glypican 6,2,Yes,6.350960015,6.334471295,NA
COL22A1,COL22A1,collagen type XXII alpha 1 chain,2,Yes,6.313356448,6.221348868,NA
LOC134810402,LOC134810402,mismatch repair endonuclease PMS2;speedy protein E2-like,2,Yes,6.298079427,6.454948862,NA
FRY,FRY,FRY microtubule binding protein,2,Yes,6.27970343,6.609627814,NA
KIAA0319,KIAA0319,KIAA0319,2,Yes,6.263911515,6.610329769,NA
MICU2,MICU2,mitochondrial calcium uptake 2,2,Yes,6.229093846,7.514350028,NA
IQSEC1,IQSEC1,IQ motif and Sec7 domain ArfGEF 1,2,Yes,6.226194331,6.407507365,NA
TNFRSF19,TNFRSF19,TNF receptor superfamily member 19,2,Yes,6.218433319,6.34633406,NA
LOC107966378,LOC107966378,olfactory receptor 10G2,2,Yes,6.209117958,7.189075153,NA
CPNE4,CPNE4,copine 4,2,Yes,6.198168834,6.227093845,NA
CELF2,CELF2,CUGBP Elav-like family member 2,2,Yes,6.152582765,6.708391015,NA
JHY,JHY,junctional cadherin complex regulator,2,Yes,6.135837778,6.006256641,NA
DYNC2I1,DYNC2I1,dynein 2 intermediate chain 1,2,Yes,6.126708567,8.074261183,NA
LOC104003232,LOC104003232,G protein subunit gamma 7;uncharacterized LOC104003232,2,Yes,6.1017708,7.051029589,NA
ARL14EPL,ARL14EPL,ADP ribosylation factor like GTPase 14 effector protein like,2,Yes,6.100238079,6.395310851,NA
PHACTR1,PHACTR1,phosphatase and actin regulator 1,2,Yes,6.097618204,7.319003522,NA
TPO,TPO,thyroid peroxidase,2,Yes,6.086207764,6.524086816,NA
FSTL4,FSTL4,follistatin like 4,2,Yes,6.08494,6.005774679,NA
TBC1D16,TBC1D16,TBC1 domain family member 16,2,Yes,6.081849502,6.192339888,NA
CNTNAP4,CNTNAP4,contactin associated protein family member 4,2,Yes,6.080469473,6.672918819,NA
DOCK10,DOCK10,dedicator of cytokinesis 10,2,Yes,6.072838152,6.428686912,NA
MCF2L,MCF2L,MCF.2 cell line derived transforming sequence like,2,Yes,6.06685956,7.659535076,NA
PGAP2,PGAP2,post-GPI attachment to proteins 2,2,Yes,6.023235031,6.071490147,NA
ZSCAN5C,ZSCAN5C,zinc finger and SCAN domain containing 5C;zinc finger and SCAN domain containing 5B,1,No,NA,NA,8.494154684
ZNF766,ZNF766,zinc finger protein 766,1,No,NA,NA,8.2156403
FAM53A,FAM53A,family with sequence similarity 53 member A,1,No,NA,NA,8.136562906
DDI2,DDI2,DNA damage inducible 1 homolog 2,1,No,NA,NA,7.863139738
LOC129136397,SSU72L2,RNA polymerase II subunit A C-terminal domain phosphatase SSU72 like protein 2-like,1,No,NA,NA,7.753790918
CSNK1G2,CSNK1G2,casein kinase 1 gamma 2,1,No,NA,NA,7.600619038
LOC466382,LOC466382,hemoglobin subunit epsilon 1;olfactory receptor 51I2-like,1,No,NA,NA,7.427876837
LOC107971361,RH-like-IC,RH-like protein IC,1,No,NA,NA,7.349037094
LILRB4,LILRB4,leukocyte immunoglobulin like receptor B4,1,No,NA,NA,7.296309415
NBAS,NBAS,NBAS subunit of NRZ tethering complex,1,No,NA,NA,7.057686169
LOC100612450,IGSF1,immunoglobulin superfamily member 1,1,No,NA,NA,6.998482545
LOC736102,RANBP2,E3 SUMO-protein ligase RanBP2-like,1,No,NA,NA,6.940542329
RIC1,RIC1,RIC1 homolog%2C RAB6A GEF complex partner 1,1,No,NA,NA,6.901431744
LOC104001091,ZNF321,putative protein ZNF321,1,No,NA,NA,6.885328679
PRKN,PRKN,parkin RBR E3 ubiquitin protein ligase;uncharacterized LOC107975455,1,No,NA,NA,6.776098099
COL18A1,COL18A1,collagen type XVIII alpha 1 chain,1,No,NA,NA,6.760078046
PTPRH,PTPRH,protein tyrosine phosphatase receptor type H,1,No,NA,NA,6.740722619
LOC112209536,IFITM3,interferon-induced transmembrane protein 3-like,1,No,NA,NA,6.724328934
CNTNAP5,CNTNAP5,contactin associated protein family member 5;uncharacterized LOC134807969,1,No,NA,NA,6.701266277
COL6A2,COL6A2,collagen type VI alpha 2 chain,1,No,NA,NA,6.686592008
CEP104,CEP104,centrosomal protein 104,1,No,NA,NA,6.680162197
ARHGAP39,ARHGAP39,Rho GTPase activating protein 39,1,No,NA,NA,6.573668461
ANKRD11,ANKRD11,ankyrin repeat domain containing 11,1,No,NA,NA,6.521229091
CAPZB,CAPZB,capping actin protein of muscle Z-line subunit beta,1,No,NA,NA,6.490597592
TARM1,TARM1,T cell-interacting%2C activating receptor on myeloid cells 1,1,No,NA,NA,6.467093998
LOC466561,OR8U9,olfactory receptor 8U9-like,1,No,NA,NA,6.288021305
CFAP54,CFAP54,cilia and flagella associated protein 54,1,No,NA,NA,6.286298445
SIGLEC6,SIGLEC6,sialic acid binding Ig like lectin 6,1,No,NA,NA,6.257046733
LDB2,LDB2,LIM domain binding 2,1,No,NA,NA,6.162397397
PRDM2,PRDM2,PR/SET domain 2,1,No,NA,NA,6.155136765
LOC134808171,LOC134808171,glutamine-rich protein 2-like,1,No,NA,NA,6.148515588
ERVV-1,ERVV-1,endogenous retrovirus group V%2C member 1,1,No,NA,NA,6.143729693
OR2W3,OR2W3,tripartite motif containing 58;olfactory receptor family 2 subfamily W member 3,1,No,NA,NA,6.14107522
CD163,CD163,CD163 molecule,1,No,NA,NA,6.137878585
BTBD2,BTBD2,BTB domain containing 2,1,No,NA,NA,6.133954674
AGXT,AGXT,alanine--glyoxylate aminotransferase,1,No,NA,NA,6.13180218
DYNLT2B,DYNLT2B,dynein light chain Tctex-type 2B,1,No,NA,NA,6.108106318
LOC457200,LOC457200,ATPase family AAA domain-containing protein 3A,1,No,NA,NA,6.102872966
ACO1,ACO1,aconitase 1,1,No,NA,NA,6.077069229
LOC104008393,ACSM1,acyl-coenzyme A synthetase ACSM1%2C mitochondrial-like,1,No,NA,10.98618007,NA
UGT2A2,UGT2A2,UDP glucuronosyltransferase family 2 member A2,1,No,NA,10.53614579,NA
LOC129144370,LOC129144370,protein eyes shut homolog,1,No,NA,9.972308143,NA
RNF144A,RNF144A,ring finger protein 144A,1,No,NA,9.742830362,NA
PRSS51,PRSS51,serine protease 51,1,No,NA,9.139634832,NA
LOC129141188,NFE4,transcription factor NF-E4-like,1,No,NA,9.013770708,NA
PGM2,PGM2,phosphoglucomutase 2,1,No,NA,8.926653553,NA
DMBT1,DMBT1,deleted in malignant brain tumors 1,1,No,NA,8.732054746,NA
LOC129136401,OLFM4,olfactomedin-4-like,1,No,NA,8.667783243,NA
LOC100609864,TAS2R14,taste receptor type 2 member 30-like,1,No,NA,8.473791038,NA
B3GAT1,B3GAT1,galactosidase beta 1 like 2;beta-1%2C3-glucuronyltransferase 1,1,No,NA,8.306408914,NA
GLB1L2,GLB1L2,galactosidase beta 1 like 2;beta-1%2C3-glucuronyltransferase 1,1,No,NA,8.306408914,NA
LRRK1,LRRK1,leucine rich repeat kinase 1,1,No,NA,8.260970836,NA
PLPPR1,PLPPR1,phospholipid phosphatase related 1,1,No,NA,8.24296512,NA
GALNTL6,GALNTL6,polypeptide N-acetylgalactosaminyltransferase like 6,1,No,NA,8.233624255,NA
LOC461289,UGT2B15,UDP-glucuronosyltransferase 2B15,1,No,NA,8.114355431,NA
PATR-DQA1,HLA-DQA1,major histocompatibility complex%2C class II%2C DQ beta 1;major histocompatibility complex%2C class II%2C DQ alpha 1,1,No,NA,8.098896295,NA
PATR-DQB1,HLA-DQB1,major histocompatibility complex%2C class II%2C DQ beta 1;major histocompatibility complex%2C class II%2C DQ alpha 1,1,No,NA,8.098896295,NA
LOC451825,DDX11,ATP-dependent DNA helicase DDX11-like,1,No,NA,8.07983569,NA
TTLL8,TTLL8,tubulin tyrosine ligase like 8,1,No,NA,8.06323648,NA
NLRP13,NLRP13,NLR family pyrin domain containing 13,1,No,NA,8.038094805,NA
GFOD1,GFOD1,Gfo/Idh/MocA-like oxidoreductase domain containing 1,1,No,NA,8.036412986,NA
MEAK7,MEAK7,MTOR associated protein%2C eak-7 homolog,1,No,NA,7.923490601,NA
TADA1,TADA1,transcriptional adaptor 1,1,No,NA,7.918163945,NA
MUC22,MUC22,mucin 22,1,No,NA,7.917701661,NA
TAFA4,TAFA4,TAFA chemokine like family member 4,1,No,NA,7.824182225,NA
ACSS3,ACSS3,acyl-CoA synthetase short chain family member 3,1,No,NA,7.81823918,NA
SULT1B1,SULT1B1,sulfotransferase family 1B member 1,1,No,NA,7.816747607,NA
ELSPBP1,ELSPBP1,epididymal sperm binding protein 1,1,No,NA,7.811741847,NA
TPGS1,TPGS1,tubulin polyglutamylase complex subunit 1,1,No,NA,7.800585352,NA
EBF3,EBF3,EBF transcription factor 3,1,No,NA,7.791825928,NA
VPS13D,VPS13D,vacuolar protein sorting 13 homolog D,1,No,NA,7.765775063,NA
ANO2,ANO2,anoctamin 2,1,No,NA,7.756742514,NA
MEI4,MEI4,meiotic double-stranded break formation protein 4,1,No,NA,7.754586261,NA
GET4,GET4,guided entry of tail-anchored proteins factor 4,1,No,NA,7.740101297,NA
RUBCN,RUBCN,rubicon autophagy regulator,1,No,NA,7.731521886,NA
ZNF160,ZNF160,zinc finger protein 160,1,No,NA,7.723336874,NA
SUCLG2,SUCLG2,succinate-CoA ligase GDP-forming subunit beta,1,No,NA,7.710311459,NA
SPATC1L,SPATC1L,spermatogenesis and centriole associated 1 like,1,No,NA,7.699631946,NA
NLRP4,NLRP4,NLR family pyrin domain containing 4,1,No,NA,7.683196154,NA
LOC104008398,OR51F2,olfactory receptor family 51 subfamily E member 2;olfactory receptor 51F2,1,No,NA,7.677480498,NA
OR51E2,OR51E2,olfactory receptor family 51 subfamily E member 2;olfactory receptor 51F2,1,No,NA,7.677480498,NA
MSRA,MSRA,methionine sulfoxide reductase A,1,No,NA,7.67516445,NA
SLC38A8,SLC38A8,solute carrier family 38 member 8,1,No,NA,7.668884055,NA
SH2D4A,SH2D4A,SH2 domain containing 4A,1,No,NA,7.652013061,NA
CD207,CD207,CD207 molecule,1,No,NA,7.645071327,NA
ZNF611,ZNF611,zinc finger protein 83;zinc finger protein 611,1,No,NA,7.642548085,NA
OCA2,OCA2,OCA2 melanosomal transmembrane protein,1,No,NA,7.622538663,NA
ABLIM2,ABLIM2,actin binding LIM protein family member 2,1,No,NA,7.615007143,NA
LOC100608599,HSP90AA1,heat shock protein HSP 90-alpha,1,No,NA,7.574582546,NA
CAMKK1,CAMKK1,calcium/calmodulin dependent protein kinase kinase 1,1,No,NA,7.564471422,NA
AKR1E2,AKR1E2,aldo-keto reductase family 1 member E2,1,No,NA,7.553883824,NA
LOC101058699,LOC101058699,putative transcriptional regulator encoded by LINC00473,1,No,NA,7.534351686,NA
LOC104001782,CCDC144B,putative coiled-coil domain-containing protein 144B,1,No,NA,7.532381014,NA
OSBPL10,OSBPL10,oxysterol binding protein like 10,1,No,NA,7.530257706,NA
MGMT,MGMT,O-6-methylguanine-DNA methyltransferase,1,No,NA,7.517826738,NA
ZMAT3,ZMAT3,zinc finger matrin-type 3,1,No,NA,7.517061126,NA
BCAT1,BCAT1,branched chain amino acid transaminase 1,1,No,NA,7.504191308,NA
PRKCZ,PRKCZ,protein kinase C zeta,1,No,NA,7.501620828,NA
MT1A,MT1A,metallothionein 1A,1,No,NA,7.49757274,NA
RBCK1,RBCK1,RANBP2-type and C3HC4-type zinc finger containing 1,1,No,NA,7.482287889,NA
CCDC92B,CCDC92B,coiled-coil domain containing 92B,1,No,NA,7.477019272,NA
GSG1L,GSG1L,GSG1 like,1,No,NA,7.449340129,NA
TWIST2,TWIST2,twist family bHLH transcription factor 2,1,No,NA,7.447917777,NA
LOC134808295,LOC134808295,putative uncharacterized protein CCDC28A-AS1,1,No,NA,7.411185157,NA
LRRTM4,LRRTM4,leucine rich repeat transmembrane neuronal 4,1,No,NA,7.406653296,NA
SLC9A4,SLC9A4,solute carrier family 9 member A4,1,No,NA,7.403534408,NA
TBC1D1,TBC1D1,TBC1 domain family member 1,1,No,NA,7.400331739,NA
CCDC3,CCDC3,coiled-coil domain containing 3,1,No,NA,7.387622717,NA
ZNF793,ZNF793,zinc finger protein 793,1,No,NA,7.36118235,NA
FUT5,FUT5,fucosyltransferase 5,1,No,NA,7.349977476,NA
OR51B6,OR51B6,hemoglobin subunit epsilon 1;olfactory receptor family 51 subfamily B member 6,1,No,NA,7.349713793,NA
TSHR,TSHR,thyroid stimulating hormone receptor,1,No,NA,7.349497144,NA
LOC450549,LOC450549,proline/serine-rich coiled-coil protein 1-like,1,No,NA,7.343346762,NA
ZNF317,ZNF317,zinc finger protein 317,1,No,NA,7.340102945,NA
ALG1L2,ALG1L2,ALG1 chitobiosyldiphosphodolichol beta-mannosyltransferase like 2,1,No,NA,7.338725035,NA
CCN4,CCN4,cellular communication network factor 4,1,No,NA,7.321892399,NA
CGNL1,CGNL1,cingulin like 1,1,No,NA,7.308726487,NA
PALLD,PALLD,palladin%2C cytoskeletal associated protein,1,No,NA,7.308052754,NA
RRP1,RRP1,ribosomal RNA processing 1,1,No,NA,7.306192408,NA
LOC744141,LOC744141,elongin-C-like,1,No,NA,7.283398618,NA
CD226,CD226,CD226 molecule,1,No,NA,7.280421978,NA
TTC29,TTC29,tetratricopeptide repeat domain 29,1,No,NA,7.275094596,NA
LNP1,LNP1,leukemia NUP98 fusion partner 1,1,No,NA,7.27270905,NA
DDX11,DDX11,DEAD/H-box helicase 11,1,No,NA,7.26212837,NA
LOC748740,LOC748740,heat shock 70 kDa protein 6,1,No,NA,7.245410306,NA
MX1,MX1,MX dynamin like GTPase 1,1,No,NA,7.231309408,NA
IQSEC3,IQSEC3,IQ motif and Sec7 domain ArfGEF 3,1,No,NA,7.23119771,NA
USPL1,USPL1,ubiquitin specific peptidase like 1,1,No,NA,7.225574332,NA
TNFRSF8,TNFRSF8,TNF receptor superfamily member 8,1,No,NA,7.218915708,NA
ESRRB,ESRRB,estrogen related receptor beta,1,No,NA,7.199271369,NA
TMCO4,TMCO4,transmembrane and coiled-coil domains 4,1,No,NA,7.194889051,NA
IDO2,IDO2,indoleamine 2%2C3-dioxygenase 2,1,No,NA,7.192893626,NA
PLOD1,PLOD1,procollagen-lysine%2C2-oxoglutarate 5-dioxygenase 1,1,No,NA,7.188551099,NA
PCP4,PCP4,Purkinje cell protein 4,1,No,NA,7.187668436,NA
TYW1B,TYW1B,tRNA-yW synthesizing protein 1 homolog B,1,No,NA,7.18408396,NA
ARMH4,ARMH4,armadillo like helical domain containing 4,1,No,NA,7.178758343,NA
STYK1,STYK1,serine/threonine/tyrosine kinase 1,1,No,NA,7.169483798,NA
LOC107973590,LOC107973590,WAS/WASL-interacting protein family member 1-like,1,No,NA,7.165201331,NA
AJAP1,AJAP1,adherens junctions associated protein 1,1,No,NA,7.16289341,NA
FBN3,FBN3,fibrillin 3,1,No,NA,7.159705564,NA
LOC745735,LOC745735,PRAME family member 15-like,1,No,NA,7.155709677,NA
SENP5,SENP5,SUMO specific peptidase 5,1,No,NA,7.142143185,NA
PLEKHF1,PLEKHF1,pleckstrin homology and FYVE domain containing 1,1,No,NA,7.140016196,NA
ZNF804B,ZNF804B,zinc finger protein 804B,1,No,NA,7.139053327,NA
SMCO2,SMCO2,single-pass membrane protein with coiled-coil domains 2;uncharacterized LOC134807578,1,No,NA,7.138642671,NA
IYD,IYD,iodotyrosine deiodinase,1,No,NA,7.134810489,NA
MFSD6,MFSD6,major facilitator superfamily domain containing 6,1,No,NA,7.115212038,NA
LOC107966570,WASHC2A,WASH complex subunit 2A-like,1,No,NA,7.115058315,NA
PLA2G2D,PLA2G2D,phospholipase A2 group IID,1,No,NA,7.105047451,NA
DDRGK1,DDRGK1,DDRGK domain containing 1,1,No,NA,7.096951996,NA
CA10,CA10,carbonic anhydrase 10,1,No,NA,7.089057853,NA
BCL2L14,BCL2L14,BCL2 like 14,1,No,NA,7.071724697,NA
CFAP74,CFAP74,cilia and flagella associated protein 74,1,No,NA,7.066793505,NA
EIPR1,EIPR1,EARP complex and GARP complex interacting protein 1,1,No,NA,7.055984383,NA
SYNE2,SYNE2,spectrin repeat containing nuclear envelope protein 2,1,No,NA,7.051111414,NA
C8H10orf143,C8H10orf143,chromosome 8 C10orf143 homolog,1,No,NA,7.036120214,NA
RRM2,RRM2,ribonucleotide reductase regulatory subunit M2,1,No,NA,7.032145534,NA
PHACTR3,PHACTR3,phosphatase and actin regulator 3,1,No,NA,7.021652957,NA
EDEM1,EDEM1,ER degradation enhancing alpha-mannosidase like protein 1,1,No,NA,7.016151714,NA
RHOBTB1,RHOBTB1,Rho related BTB domain containing 1,1,No,NA,7.015485995,NA
ATP23,ATP23,ATP23 metallopeptidase and ATP synthase assembly factor homolog,1,No,NA,6.998429869,NA
HTR1F,HTR1F,5-hydroxytryptamine receptor 1F,1,No,NA,6.997362185,NA
SNX8,SNX8,sorting nexin 8,1,No,NA,6.996350342,NA
DDX60,DDX60,DExD/H-box helicase 60,1,No,NA,6.991995792,NA
ZNF773,ZNF773,zinc finger protein 773,1,No,NA,6.981193785,NA
CR1,CR1,complement component 3b/4b receptor 1,1,No,NA,6.975823182,NA
SEPTIN2,SEPTIN2,septin 2,1,No,NA,6.972957634,NA
GLB1L3,GLB1L3,galactosidase beta 1 like 3,1,No,NA,6.964787719,NA
DHX33,DHX33,DEAH-box helicase 33,1,No,NA,6.95883929,NA
TMEM182,TMEM182,transmembrane protein 182,1,No,NA,6.958643317,NA
BMP7,BMP7,bone morphogenetic protein 7,1,No,NA,6.956766389,NA
ADGRD1,ADGRD1,adhesion G protein-coupled receptor D1,1,No,NA,6.951247541,NA
DLG1,DLG1,discs large MAGUK scaffold protein 1,1,No,NA,6.944546646,NA
ADAMTSL3,ADAMTSL3,ADAMTS like 3,1,No,NA,6.944398792,NA
KCNJ5,KCNJ5,potassium inwardly rectifying channel subfamily J member 5,1,No,NA,6.943041944,NA
LOC100608046,LOC100608046,putative protein phosphatase inhibitor 2-like protein 1,1,No,NA,6.936654409,NA
S100P,S100P,S100 calcium binding protein P,1,No,NA,6.927454609,NA
DTWD2,DTWD2,DTW domain containing 2,1,No,NA,6.921560442,NA
MCTP2,MCTP2,multiple C2 and transmembrane domain containing 2,1,No,NA,6.920653338,NA
MFSD11,MFSD11,major facilitator superfamily domain containing 11,1,No,NA,6.91931295,NA
TMEM255B,TMEM255B,transmembrane protein 255B,1,No,NA,6.919046691,NA
OR1E2,OR1E2,spermatogenesis associated 22;olfactory receptor 1E2,1,No,NA,6.916915429,NA
SPATA22,SPATA22,spermatogenesis associated 22;olfactory receptor 1E2,1,No,NA,6.916915429,NA
GCSAML,GCSAML,germinal center associated signaling and motility like,1,No,NA,6.912851862,NA
CRYBG1,CRYBG1,crystallin beta-gamma domain containing 1,1,No,NA,6.904285038,NA
PADI6,PADI6,peptidyl arginine deiminase 6,1,No,NA,6.896442136,NA
CLEC2A,CLEC2A,C-type lectin domain family 2 member A,1,No,NA,6.896403208,NA
MUC5B,MUC5B,mucin 5B%2C oligomeric mucus/gel-forming,1,No,NA,6.871883935,NA
ACTL8,ACTL8,actin like 8,1,No,NA,6.871478608,NA
BMPER,BMPER,BMP binding endothelial regulator,1,No,NA,6.869890201,NA
PCNX2,PCNX2,pecanex 2,1,No,NA,6.865830655,NA
FAT1,FAT1,FAT atypical cadherin 1,1,No,NA,6.865449155,NA
AKAP12,AKAP12,A-kinase anchoring protein 12,1,No,NA,6.859625585,NA
ZNF407,ZNF407,zinc finger protein 407,1,No,NA,6.856335495,NA
LRRN1,LRRN1,leucine rich repeat neuronal 1;sulfatase modifying factor 1,1,No,NA,6.85215599,NA
MRAP,MRAP,URB1 ribosome biogenesis homolog;melanocortin 2 receptor accessory protein,1,No,NA,6.851899237,NA
URB1,URB1,URB1 ribosome biogenesis homolog;melanocortin 2 receptor accessory protein,1,No,NA,6.851899237,NA
DEAF1,DEAF1,DEAF1 transcription factor,1,No,NA,6.846877541,NA
AURKA,AURKA,aurora kinase A,1,No,NA,6.845213497,NA
CFAP61,CFAP61,cilia and flagella associated protein 61,1,No,NA,6.844356435,NA
NLRP8,NLRP8,NLR family pyrin domain containing 8,1,No,NA,6.843885072,NA
ATP13A5,ATP13A5,ATPase 13A5,1,No,NA,6.840219906,NA
TEX29,TEX29,testis expressed 29,1,No,NA,6.838184517,NA
FBXL7,FBXL7,F-box and leucine rich repeat protein 7,1,No,NA,6.831789324,NA
ADGB,ADGB,androglobin,1,No,NA,6.823965987,NA
LOC742626,LOC742626,radial spoke head 10 homolog B,1,No,NA,6.823045618,NA
NAXD,NAXD,NAD(P)HX dehydratase,1,No,NA,6.822321436,NA
LILRA3,LILRA3,leukocyte immunoglobulin-like receptor%2C subfamily A (without TM domain)%2C member 3,1,No,NA,6.812920963,NA
WFS1,WFS1,wolframin ER transmembrane glycoprotein,1,No,NA,6.80763273,NA
STK39,STK39,serine/threonine kinase 39,1,No,NA,6.805606208,NA
CNST,CNST,consortin%2C connexin sorting protein,1,No,NA,6.805040787,NA
BEND7,BEND7,BEN domain containing 7,1,No,NA,6.804832759,NA
KLRC1,KLRC1,killer cell lectin like receptor C1,1,No,NA,6.789829275,NA
F11R,F11R,F11 receptor,1,No,NA,6.781549504,NA
LYRM4,LYRM4,LYR motif containing 4,1,No,NA,6.770639204,NA
CRACDL,CRACDL,CRACD like,1,No,NA,6.767773259,NA
SH3GL2,SH3GL2,SH3 domain containing GRB2 like 2%2C endophilin A1,1,No,NA,6.766280128,NA
PRPSAP1,PRPSAP1,phosphoribosyl pyrophosphate synthetase associated protein 1,1,No,NA,6.763220943,NA
LRFN5,LRFN5,leucine rich repeat and fibronectin type III domain containing 5,1,No,NA,6.762282292,NA
PDPN,PDPN,podoplanin,1,No,NA,6.761519199,NA
PLSCR2,PLSCR2,phospholipid scramblase 2,1,No,NA,6.754379754,NA
ZMYND11,ZMYND11,zinc finger MYND-type containing 11,1,No,NA,6.754123734,NA
LHFPL3,LHFPL3,LHFPL tetraspan subfamily member 3,1,No,NA,6.749726658,NA
MKKS,MKKS,MKKS centrosomal shuttling protein,1,No,NA,6.740364676,NA
AGMO,AGMO,alkylglycerol monooxygenase,1,No,NA,6.738493282,NA
OCM,OCM,oncomodulin,1,No,NA,6.73605984,NA
LIG1,LIG1,DNA ligase 1,1,No,NA,6.727862688,NA
LOC134808976,LOC134808976,xaa-Pro dipeptidase-like,1,No,NA,6.716190241,NA
SLC9A2,SLC9A2,solute carrier family 9 member A2;uncharacterized LOC104005109,1,No,NA,6.7144102,NA
ERICH2,ERICH2,glutamate rich 2,1,No,NA,6.705798171,NA
CLIP4,CLIP4,CAP-Gly domain containing linker protein family member 4,1,No,NA,6.701607327,NA
RGS7,RGS7,regulator of G protein signaling 7,1,No,NA,6.700706075,NA
AADACL4,AADACL4,arylacetamide deacetylase like 4,1,No,NA,6.698247584,NA
LRIG3,LRIG3,leucine rich repeats and immunoglobulin like domains 3,1,No,NA,6.696680221,NA
KRTAP10-11,KRTAP10-11,keratin associated protein 10-11,1,No,NA,6.694483374,NA
RBMS3,RBMS3,RNA binding motif single stranded interacting protein 3,1,No,NA,6.691668274,NA
