chromosome,start,end,population,avg_tmrca_myr,genes,genes_renamed,gene_biotypes,descriptions
chr5_hap1_hsa6,6631000,6632000,Eastern,9.104720229,EXOC2,EXOC2,protein_coding,exocyst complex component 2
chr5_hap1_hsa6,6631000,6632000,Eastern,9.104720229,LOC134810254,LOC134810254,protein_coding,cbp/p300-interacting transactivator 4-like
chr14_hap1_hsa13,87021000,87022000,Eastern,9.102597806,LOC134808242,TBX1,protein_coding,T-box transcription factor TBX1-like
chr3_hap1_hsa4,21967000,21968000,Eastern,9.102501314,KCNIP4,KCNIP4,protein_coding,potassium voltage-gated channel interacting protein 4
chr11_hap1_hsa9,106835000,106836000,Central,9.101822139,PTPRD,PTPRD,protein_coding,protein tyrosine phosphatase receptor type D
chr10_hap1_hsa12,89592000,89593000,Eastern,9.101690971,TMTC2,TMTC2,protein_coding,transmembrane O-mannosyltransferase targeting cadherins 2
chr19_hap1_hsa17,11033000,11034000,Eastern,9.100311294,VPS53,VPS53,protein_coding,VPS53 subunit of GARP complex
chr19_hap1_hsa17,91561000,91562000,Central,9.100001702,DNAH17,DNAH17,protein_coding,dynein axonemal heavy chain 17
chr11_hap1_hsa9,100875000,100876000,Eastern,9.099879537,LOC134807610,LOC134807610,protein_coding,H(+)/Cl(-) exchange transporter 3-like
chr21_hap1_hsa20,59310000,59311000,Eastern,9.099667396,TSHZ2,TSHZ2,protein_coding,teashirt zinc finger homeobox 2
chr13_hap1_hsa2b,71046000,71047000,Eastern,9.098501798,ABCB11,ABCB11,protein_coding,ATP binding cassette subfamily B member 11
chr18_hap1_hsa16,81027000,81028000,Eastern,9.098118884,CDH13,CDH13,protein_coding,cadherin 13
chr4_hap1_hsa5,12493000,12494000,Eastern,9.09711732,CTNND2,CTNND2,protein_coding,catenin delta 2
chr9_hap1_hsa11,135738000,135739000,Eastern,9.096406027,SPATA19,SPATA19,protein_coding,spermatogenesis associated 19
chr6_hap1_hsa7,161948000,161949000,Eastern,9.095413255,CNTNAP2,CNTNAP2,protein_coding,contactin associated protein 2
chr3_hap1_hsa4,21625000,21626000,Eastern,9.095023713,KCNIP4,KCNIP4,protein_coding,potassium voltage-gated channel interacting protein 4
chr3_hap1_hsa4,22311000,22312000,Central,9.092762734,KCNIP4,KCNIP4,protein_coding,potassium voltage-gated channel interacting protein 4
chr3_hap1_hsa4,22311000,22312000,Eastern,9.092762734,KCNIP4,KCNIP4,protein_coding,potassium voltage-gated channel interacting protein 4
chr7_hap1_hsa8,8097000,8098000,Eastern,9.092277962,DLGAP2,DLGAP2,protein_coding,DLG associated protein 2
chr11_hap1_hsa9,21288000,21289000,Eastern,9.091700325,ASTN2,ASTN2,protein_coding,astrotactin 2
chr10_hap1_hsa12,77605000,77606000,Eastern,9.091666626,PTPRR,PTPRR,protein_coding,protein tyrosine phosphatase receptor type R
chr9_hap1_hsa11,94892000,94893000,Eastern,9.09103379,FAT3,FAT3,protein_coding,FAT atypical cadherin 3
chr2_hap1_hsa3,11508000,11509000,Eastern,9.090576938,GRM7,GRM7,protein_coding,glutamate metabotropic receptor 7
chr9_hap1_hsa11,24901000,24902000,Central,9.088844585,NELL1,NELL1,protein_coding,neural EGFL like 1
chr8_hap1_hsa10,78210000,78211000,Central,9.087931017,CTNNA3,CTNNA3,protein_coding,catenin alpha 3
chr1_hap1_hsa1,3097000,3098000,Eastern,9.087870828,SMYD3,SMYD3,protein_coding,SET and MYND domain containing 3
chr14_hap1_hsa13,118646000,118647000,Eastern,9.087762584,MCF2L,MCF2L,protein_coding,MCF.2 cell line derived transforming sequence like
chr11_hap1_hsa9,107121000,107122000,Eastern,9.086772094,PTPRD,PTPRD,protein_coding,protein tyrosine phosphatase receptor type D
chr6_hap1_hsa7,13399000,13400000,Eastern,9.086754503,COL28A1,COL28A1,protein_coding,collagen type XXVIII alpha 1 chain
chr4_hap1_hsa5,175739000,175740000,Central,9.086366791,COL23A1,COL23A1,protein_coding,collagen type XXIII alpha 1 chain
chr11_hap1_hsa9,67928000,67929000,Eastern,9.08473808,GNA14,GNA14,protein_coding,G protein subunit alpha 14
chr14_hap1_hsa13,18577000,18578000,Eastern,9.084358188,LOC129136901,PARP4,protein_coding,protein mono-ADP-ribosyltransferase PARP4-like
chr11_hap1_hsa9,107630000,107631000,Eastern,9.083191998,PTPRD,PTPRD,protein_coding,protein tyrosine phosphatase receptor type D
chr11_hap1_hsa9,107630000,107631000,Western,9.083191998,PTPRD,PTPRD,protein_coding,protein tyrosine phosphatase receptor type D
chr18_hap1_hsa16,9808000,9809000,Eastern,9.08244615,RBFOX1,RBFOX1,protein_coding,RNA binding fox-1 homolog 1
chr8_hap1_hsa10,67273000,67274000,Eastern,9.081215348,PCDH15,PCDH15,protein_coding,protocadherin related 15
chr10_hap1_hsa12,17782000,17783000,Eastern,9.081025196,STYK1,STYK1,protein_coding,serine/threonine/tyrosine kinase 1
chr9_hap1_hsa11,8848000,8849000,Eastern,9.080769558,OR51E2,OR51E2,protein_coding,olfactory receptor family 51 subfamily E member 2
chr9_hap1_hsa11,8848000,8849000,Eastern,9.080769558,LOC104008398,OR51F2,protein_coding,olfactory receptor 51F2
chr11_hap1_hsa9,106874000,106875000,Eastern,9.079420898,PTPRD,PTPRD,protein_coding,protein tyrosine phosphatase receptor type D
chr12_hap1_hsa2a,121716000,121717000,Eastern,9.079269706,SNTG2,SNTG2,protein_coding,syntrophin gamma 2
chr15_hap1_hsa14,79011000,79012000,Eastern,9.078937835,TSHR,TSHR,protein_coding,thyroid stimulating hormone receptor
chr18_hap1_hsa16,3319000,3320000,Eastern,9.078366887,LMF1,LMF1,protein_coding,lipase maturation factor 1
chr5_hap1_hsa6,136216000,136217000,Central,9.078265149,NKAIN2,NKAIN2,protein_coding,sodium/potassium transporting ATPase interacting 2
chr5_hap1_hsa6,136216000,136217000,Eastern,9.078265149,NKAIN2,NKAIN2,protein_coding,sodium/potassium transporting ATPase interacting 2
chr1_hap1_hsa1,229854000,229855000,Eastern,9.077688585,PRKCZ,PRKCZ,protein_coding,protein kinase C zeta
chr9_hap1_hsa11,44521000,44522000,Central,9.077606216,LRRC4C,LRRC4C,protein_coding,leucine rich repeat containing 4C
chr13_hap1_hsa2b,42913000,42914000,Eastern,9.07650135,LRP1B,LRP1B,protein_coding,LDL receptor related protein 1B
chr17_hap1_hsa18,66881000,66882000,Central,9.0764667,WDR7,WDR7,protein_coding,WD repeat domain 7
chr17_hap1_hsa18,66881000,66882000,Eastern,9.0764667,WDR7,WDR7,protein_coding,WD repeat domain 7
chr10_hap1_hsa12,51273000,51274000,Eastern,9.076372868,NELL2,NELL2,protein_coding,neural EGFL like 2
chr6_hap1_hsa7,8881000,8882000,Eastern,9.076249249,CARD11,CARD11,protein_coding,caspase recruitment domain family member 11
chr13_hap1_hsa2b,130309000,130310000,Central,9.07586788,SPHKAP,SPHKAP,protein_coding,SPHK1 interactor%2C AKAP domain containing
chr13_hap1_hsa2b,130309000,130310000,Eastern,9.07586788,SPHKAP,SPHKAP,protein_coding,SPHK1 interactor%2C AKAP domain containing
chr6_hap1_hsa7,80114000,80115000,Central,9.075764741,GALNT17,GALNT17,protein_coding,polypeptide N-acetylgalactosaminyltransferase 17
chr6_hap1_hsa7,80114000,80115000,Eastern,9.075764741,GALNT17,GALNT17,protein_coding,polypeptide N-acetylgalactosaminyltransferase 17
chr5_hap1_hsa6,174490000,174491000,Eastern,9.075648973,PRKN,PRKN,protein_coding,parkin RBR E3 ubiquitin protein ligase
chr12_hap1_hsa2a,91795000,91796000,Eastern,9.075398466,GALNT14,GALNT14,protein_coding,polypeptide N-acetylgalactosaminyltransferase 14
chr10_hap1_hsa12,135233000,135234000,Central,9.075131702,TMEM132C,TMEM132C,protein_coding,transmembrane protein 132C
chr22_hap1_hsa21,30308000,30309000,Central,9.073846763,BACH1,BACH1,protein_coding,BTB domain and CNC homolog 1
chr22_hap1_hsa21,30308000,30309000,Eastern,9.073846763,BACH1,BACH1,protein_coding,BTB domain and CNC homolog 1
chr6_hap1_hsa7,168096000,168097000,Eastern,9.073778582,ACTR3B,ACTR3B,protein_coding,actin related protein 3B
chr14_hap1_hsa13,38700000,38701000,Central,9.07293466,LHFPL6,LHFPL6,protein_coding,LHFPL tetraspan subfamily member 6
chr2_hap1_hsa3,195441000,195442000,Central,9.072850294,FGF12,FGF12,protein_coding,fibroblast growth factor 12
chr2_hap1_hsa3,195441000,195442000,Eastern,9.072850294,FGF12,FGF12,protein_coding,fibroblast growth factor 12
chr22_hap1_hsa21,33017000,33018000,Eastern,9.072771195,URB1,URB1,protein_coding,URB1 ribosome biogenesis homolog
chr22_hap1_hsa21,33017000,33018000,Eastern,9.072771195,MRAP,MRAP,protein_coding,melanocortin 2 receptor accessory protein
chr17_hap1_hsa18,79862000,79863000,Eastern,9.071724043,DOK6,DOK6,protein_coding,docking protein 6
chr14_hap1_hsa13,24736000,24737000,Eastern,9.071307908,ATP8A2,ATP8A2,protein_coding,ATPase phospholipid transporting 8A2
chr16_hap1_hsa15,46415000,46416000,Central,9.071186251,UNC13C,UNC13C,protein_coding,unc-13 homolog C
chr16_hap1_hsa15,46415000,46416000,Eastern,9.071186251,UNC13C,UNC13C,protein_coding,unc-13 homolog C
chr2_hap1_hsa3,11513000,11514000,Central,9.070644591,GRM7,GRM7,protein_coding,glutamate metabotropic receptor 7
chr2_hap1_hsa3,11513000,11514000,Eastern,9.070644591,GRM7,GRM7,protein_coding,glutamate metabotropic receptor 7
chr12_hap1_hsa2a,47754000,47755000,Eastern,9.069214654,POLE4,POLE4,protein_coding,DNA polymerase epsilon 4%2C accessory subunit
chr10_hap1_hsa12,18277000,18278000,Eastern,9.068260178,LOC100609864,TAS2R14,protein_coding,taste receptor type 2 member 30-like
chr13_hap1_hsa2b,138256000,138257000,Eastern,9.067856699,AGAP1,AGAP1,protein_coding,ArfGAP with GTPase domain%2C ankyrin repeat and PH domain 1
chr6_hap1_hsa7,14417000,14418000,Central,9.067666116,NXPH1,NXPH1,protein_coding,neurexophilin 1
chr6_hap1_hsa7,54252000,54253000,Eastern,9.067385562,ABCA13,ABCA13,protein_coding,ATP binding cassette subfamily A member 13
chr16_hap1_hsa15,74788000,74789000,Eastern,9.06734048,ADAMTSL3,ADAMTSL3,protein_coding,ADAMTS like 3
chr16_hap1_hsa15,91854000,91855000,Eastern,9.066096476,ADAMTS17,ADAMTS17,protein_coding,ADAM metallopeptidase with thrombospondin type 1 motif 17
chr2_hap1_hsa3,11516000,11517000,Eastern,9.065746374,GRM7,GRM7,protein_coding,glutamate metabotropic receptor 7
chr6_hap1_hsa7,10747000,10748000,Central,9.064289683,RADIL,RADIL,protein_coding,Rap associating with DIL domain
chr1_hap1_hsa1,205660000,205661000,Eastern,9.063683523,TMEM50A,TMEM50A,protein_coding,transmembrane protein 50A
chr21_hap1_hsa20,26347000,26348000,Central,9.063510138,RIN2,RIN2,protein_coding,Ras and Rab interactor 2
chr21_hap1_hsa20,26347000,26348000,Central,9.063510138,LOC129138197,LOC129138197,protein_coding,large ribosomal subunit protein uL11-like
chr21_hap1_hsa20,60856000,60857000,Central,9.06329239,DOK5,DOK5,protein_coding,docking protein 5
chr21_hap1_hsa20,60856000,60857000,Eastern,9.06329239,DOK5,DOK5,protein_coding,docking protein 5
chr9_hap1_hsa11,130856000,130857000,Eastern,9.063243235,KCNJ5,KCNJ5,protein_coding,potassium inwardly rectifying channel subfamily J member 5
chr14_hap1_hsa13,44787000,44788000,Eastern,9.061454918,LCP1,LCP1,protein_coding,lymphocyte cytosolic protein 1
chr23_hap1_hsa22,52158000,52159000,Eastern,9.061384344,TTLL8,TTLL8,protein_coding,tubulin tyrosine ligase like 8
chr5_hap1_hsa6,30386000,30387000,Central,9.058304145,MRS2,MRS2,protein_coding,magnesium transporter MRS2
chr5_hap1_hsa6,30386000,30387000,Eastern,9.058304145,MRS2,MRS2,protein_coding,magnesium transporter MRS2
chr22_hap1_hsa21,43392000,43393000,Central,9.05830366,PDE9A,PDE9A,protein_coding,phosphodiesterase 9A
chr22_hap1_hsa21,43392000,43393000,Eastern,9.05830366,PDE9A,PDE9A,protein_coding,phosphodiesterase 9A
chr10_hap1_hsa12,37868000,37869000,Eastern,9.058104928,ATP23,ATP23,protein_coding,ATP23 metallopeptidase and ATP synthase assembly factor homolog
chr21_hap1_hsa20,26321000,26322000,Eastern,9.056464263,RIN2,RIN2,protein_coding,Ras and Rab interactor 2
chr1_hap1_hsa1,11551000,11552000,Eastern,9.056408471,RYR2,RYR2,protein_coding,ryanodine receptor 2
chr18_hap1_hsa16,3476000,3477000,Eastern,9.055923078,C1QTNF8,C1QTNF8,protein_coding,C1q and TNF related 8
chr10_hap1_hsa12,10204000,10205000,Central,9.055525484,TEAD4,TEAD4,protein_coding,TEA domain transcription factor 4
chr12_hap1_hsa2a,44918000,44919000,Central,9.053342932,LOC134807808,BCAS1,protein_coding,breast carcinoma-amplified sequence 4-like
chr3_hap1_hsa4,144096000,144097000,Eastern,9.052815196,INPP4B,INPP4B,protein_coding,inositol polyphosphate-4-phosphatase type II B
chr20_hap1_hsa19,11798000,11799000,Central,9.052588401,MUC16,MUC16,protein_coding,mucin 16%2C cell surface associated
chr11_hap1_hsa9,115080000,115081000,Eastern,9.052563183,DMRT1,DMRT1,protein_coding,doublesex and mab-3 related transcription factor 1
chr8_hap1_hsa10,26106000,26107000,Eastern,9.052043571,UCMA,UCMA,protein_coding,upper zone of growth plate and cartilage matrix associated
chr14_hap1_hsa13,19635000,19636000,Eastern,9.051382811,CRYL1,CRYL1,protein_coding,crystallin lambda 1
chr9_hap1_hsa11,44510000,44511000,Central,9.051013582,LRRC4C,LRRC4C,protein_coding,leucine rich repeat containing 4C
chr12_hap1_hsa2a,42853000,42854000,Eastern,9.050996049,CTNNA2,CTNNA2,protein_coding,catenin alpha 2
chr15_hap1_hsa14,77126000,77127000,Eastern,9.050742547,NRXN3,NRXN3,protein_coding,neurexin 3
chr17_hap1_hsa18,90059000,90060000,Eastern,9.050263786,SLC66A2,SLC66A2,protein_coding,solute carrier family 66 member 2
chr1_hap1_hsa1,219181000,219182000,Eastern,9.049787063,LOC745735,LOC745735,protein_coding,PRAME family member 15-like
chr2_hap1_hsa3,20981000,20982000,Eastern,9.049186358,PLCL2,PLCL2,protein_coding,phospholipase C like 2
chr3_hap1_hsa4,73192000,73193000,Eastern,9.048590321,HOPX,HOPX,protein_coding,HOP homeobox
chr1_hap1_hsa1,145194000,145195000,Eastern,9.048370605,COL24A1,COL24A1,protein_coding,collagen type XXIV alpha 1 chain
chr8_hap1_hsa10,95083000,95084000,Central,9.04789291,NRG3,NRG3,protein_coding,neuregulin 3
chr8_hap1_hsa10,95083000,95084000,Eastern,9.04789291,NRG3,NRG3,protein_coding,neuregulin 3
chr9_hap1_hsa11,134865000,134866000,Eastern,9.047809553,OPCML,OPCML,protein_coding,opioid binding protein/cell adhesion molecule like
chr11_hap1_hsa9,105953000,105954000,Eastern,9.047511985,PTPRD,PTPRD,protein_coding,protein tyrosine phosphatase receptor type D
chr4_hap1_hsa5,176196000,176197000,Central,9.045285546,ZNF354A,ZNF354A,protein_coding,zinc finger protein 354A
chr4_hap1_hsa5,176196000,176197000,Eastern,9.045285546,ZNF354A,ZNF354A,protein_coding,zinc finger protein 354A
chr13_hap1_hsa2b,141096000,141097000,Eastern,9.045145668,TWIST2,TWIST2,protein_coding,twist family bHLH transcription factor 2
chr14_hap1_hsa13,42702000,42703000,Eastern,9.045055705,ENOX1,ENOX1,protein_coding,ecto-NOX disulfide-thiol exchanger 1
chr5_hap1_hsa6,113766000,113767000,Eastern,9.044596518,GRIK2,GRIK2,protein_coding,glutamate ionotropic receptor kainate type subunit 2
chr6_hap1_hsa7,168456000,168457000,Eastern,9.044132528,ACTR3B,ACTR3B,protein_coding,actin related protein 3B
chr6_hap1_hsa7,168457000,168458000,Eastern,9.042308569,ACTR3B,ACTR3B,protein_coding,actin related protein 3B
chr2_hap1_hsa3,154665000,154666000,Eastern,9.041807091,IGSF10,IGSF10,protein_coding,immunoglobulin superfamily member 10
chr14_hap1_hsa13,20781000,20782000,Eastern,9.040786651,MICU2,MICU2,protein_coding,mitochondrial calcium uptake 2
chr12_hap1_hsa2a,13719000,13720000,Eastern,9.040730125,LOC107973590,LOC107973590,protein_coding,WAS/WASL-interacting protein family member 1-like
chr14_hap1_hsa13,19717000,19718000,Eastern,9.038795047,CRYL1,CRYL1,protein_coding,crystallin lambda 1
chr20_hap1_hsa19,13895000,13896000,Eastern,9.03784029,KANK2,KANK2,protein_coding,KN motif and ankyrin repeat domains 2
chr10_hap1_hsa12,135229000,135230000,Central,9.037835873,TMEM132C,TMEM132C,protein_coding,transmembrane protein 132C
chr5_hap1_hsa6,170733000,170734000,Eastern,9.037222758,SYTL3,SYTL3,protein_coding,synaptotagmin like 3
chr18_hap1_hsa16,30489000,30490000,Eastern,9.036967461,GSG1L,GSG1L,protein_coding,GSG1 like
chr20_hap1_hsa19,3426000,3427000,Central,9.036891795,SBNO2,SBNO2,protein_coding,strawberry notch homolog 2
chr20_hap1_hsa19,3426000,3427000,Eastern,9.036891795,SBNO2,SBNO2,protein_coding,strawberry notch homolog 2
chr20_hap1_hsa19,12781000,12782000,Central,9.036556879,LOC468717,C3P1,protein_coding,putative protein C3P1
chr10_hap1_hsa12,89594000,89595000,Eastern,9.035946778,TMTC2,TMTC2,protein_coding,transmembrane O-mannosyltransferase targeting cadherins 2
chr6_hap1_hsa7,10025000,10026000,Eastern,9.035665755,SDK1,SDK1,protein_coding,sidekick cell adhesion molecule 1
chr5_hap1_hsa6,172699000,172700000,Eastern,9.033757307,LPA,LPA,protein_coding,lipoprotein(a)
chr12_hap1_hsa2a,94268000,94269000,Central,9.032798883,PLB1,PLB1,protein_coding,phospholipase B1
chr12_hap1_hsa2a,94268000,94269000,Eastern,9.032798883,PLB1,PLB1,protein_coding,phospholipase B1
chr13_hap1_hsa2b,69124000,69125000,Eastern,9.032008819,XIRP2,XIRP2,protein_coding,xin actin binding repeat containing 2
chr1_hap1_hsa1,216149000,216150000,Eastern,9.030617516,KAZN,KAZN,protein_coding,kazrin%2C periplakin interacting protein
chr8_hap1_hsa10,32367000,32368000,Eastern,9.029293216,MALRD1,MALRD1,protein_coding,MAM and LDL receptor class A domain containing 1
chr8_hap1_hsa10,19702000,19703000,Eastern,9.028979029,LOC107976907,ERVK-16,protein_coding,endogenous retrovirus group K member 16 Rec protein
chr3_hap1_hsa4,625000,626000,Eastern,9.028690487,ZNF721,ZNF721,protein_coding,zinc finger protein 721
chr8_hap1_hsa10,141668000,141669000,Eastern,9.027628323,MGMT,MGMT,protein_coding,O-6-methylguanine-DNA methyltransferase
chr9_hap1_hsa11,101208000,101209000,Eastern,9.025581985,CNTN5,CNTN5,protein_coding,contactin 5
chr1_hap1_hsa1,11590000,11591000,Eastern,9.025480914,RYR2,RYR2,protein_coding,ryanodine receptor 2
chr3_hap1_hsa4,23905000,23906000,Eastern,9.025000885,LOC461139,GBA3,protein_coding,cytosolic beta-glucosidase
chr2_hap1_hsa3,72452000,72453000,Central,9.023977362,LOC134806951,TAFA1,protein_coding,TAFA chemokine like family member 1
chr13_hap1_hsa2b,115836000,115837000,Eastern,9.023337087,SPAG16,SPAG16,protein_coding,sperm associated antigen 16
chr23_hap1_hsa22,48996000,48997000,Central,9.023132203,TBC1D22A,TBC1D22A,protein_coding,TBC1 domain family member 22A
chr23_hap1_hsa22,48996000,48997000,Eastern,9.023132203,TBC1D22A,TBC1D22A,protein_coding,TBC1 domain family member 22A
chr16_hap1_hsa15,7312000,7313000,Central,9.021845359,HERC2,HERC2,protein_coding,HECT and RLD domain containing E3 ubiquitin protein ligase 2
chr9_hap1_hsa11,135284000,135285000,Eastern,9.021460674,OPCML,OPCML,protein_coding,opioid binding protein/cell adhesion molecule like
chr3_hap1_hsa4,187503000,187504000,Central,9.020855821,SORBS2,SORBS2,protein_coding,sorbin and SH3 domain containing 2
chr3_hap1_hsa4,187503000,187504000,Eastern,9.020855821,SORBS2,SORBS2,protein_coding,sorbin and SH3 domain containing 2
chr8_hap1_hsa10,26688000,26689000,Eastern,9.02048387,FRMD4A,FRMD4A,protein_coding,FERM domain containing 4A
chr14_hap1_hsa13,118681000,118682000,Central,9.020169038,MCF2L,MCF2L,protein_coding,MCF.2 cell line derived transforming sequence like
chr8_hap1_hsa10,25869000,25870000,Eastern,9.019786552,CCDC3,CCDC3,protein_coding,coiled-coil domain containing 3
chr7_hap1_hsa8,49168000,49169000,Eastern,9.01972638,ZMAT4,ZMAT4,protein_coding,zinc finger matrin-type 4
chr13_hap1_hsa2b,138204000,138205000,Eastern,9.018829928,AGAP1,AGAP1,protein_coding,ArfGAP with GTPase domain%2C ankyrin repeat and PH domain 1
chr12_hap1_hsa2a,42873000,42874000,Central,9.018691929,CTNNA2,CTNNA2,protein_coding,catenin alpha 2
chr2_hap1_hsa3,5183000,5184000,Eastern,9.018243894,CNTN6,CNTN6,protein_coding,contactin 6
chr7_hap1_hsa8,97511000,97512000,Western,9.01822205,CNBD1,CNBD1,protein_coding,cyclic nucleotide binding domain containing 1
chr7_hap1_hsa8,140041000,140042000,Central,9.017507282,GSDMC,GSDMC,protein_coding,gasdermin C
chr7_hap1_hsa8,140041000,140042000,Eastern,9.017507282,GSDMC,GSDMC,protein_coding,gasdermin C
chr16_hap1_hsa15,81521000,81522000,Eastern,9.017292147,WDR93,WDR93,protein_coding,WD repeat domain 93
chr18_hap1_hsa16,3643000,3644000,Central,9.016605021,LOC100614054,LOC100614054,protein_coding,tryptase delta
chr18_hap1_hsa16,3643000,3644000,Eastern,9.016605021,LOC100614054,LOC100614054,protein_coding,tryptase delta
chr20_hap1_hsa19,8009000,8010000,Eastern,9.014924759,SAFB,SAFB,protein_coding,scaffold attachment factor B
chr5_hap1_hsa6,88948000,88949000,Eastern,9.014405793,LOC129144293,GVQW1,protein_coding,protein GVQW1-like
chr9_hap1_hsa11,18288000,18289000,Eastern,9.014031977,SPON1,SPON1,protein_coding,spondin 1
chr21_hap1_hsa20,60880000,60881000,Eastern,9.013813571,DOK5,DOK5,protein_coding,docking protein 5
chr14_hap1_hsa13,36703000,36704000,Central,9.013708752,POSTN,POSTN,protein_coding,periostin
chr5_hap1_hsa6,96069000,96070000,Eastern,9.012843032,MRAP2,MRAP2,protein_coding,melanocortin 2 receptor accessory protein 2
chr11_hap1_hsa9,98166000,98167000,Eastern,9.012456717,SH3GL2,SH3GL2,protein_coding,SH3 domain containing GRB2 like 2%2C endophilin A1
chr3_hap1_hsa4,169782000,169783000,Central,9.012373554,ANXA10,ANXA10,protein_coding,annexin A10
chr3_hap1_hsa4,169782000,169783000,Eastern,9.012373554,ANXA10,ANXA10,protein_coding,annexin A10
chr2_hap1_hsa3,35788000,35789000,Eastern,9.011498373,OSBPL10,OSBPL10,protein_coding,oxysterol binding protein like 10
chr20_hap1_hsa19,12026000,12027000,Eastern,9.011250276,ZNF699,ZNF699,protein_coding,zinc finger protein 699
chr1_hap1_hsa1,32536000,32537000,Eastern,9.010857735,ESRRG,ESRRG,protein_coding,estrogen related receptor gamma
chr23_hap1_hsa22,48994000,48995000,Eastern,9.010740271,TBC1D22A,TBC1D22A,protein_coding,TBC1 domain family member 22A
chr18_hap1_hsa16,23051000,23052000,Eastern,9.009518779,ACSM5,ACSM5,protein_coding,acyl-CoA synthetase medium chain family member 5
chr13_hap1_hsa2b,42947000,42948000,Eastern,9.009499175,LRP1B,LRP1B,protein_coding,LDL receptor related protein 1B
chr14_hap1_hsa13,42686000,42687000,Eastern,9.009351029,ENOX1,ENOX1,protein_coding,ecto-NOX disulfide-thiol exchanger 1
chr12_hap1_hsa2a,121763000,121764000,Eastern,9.008516245,SNTG2,SNTG2,protein_coding,syntrophin gamma 2
chr10_hap1_hsa12,137399000,137400000,Central,9.007563923,RIMBP2,RIMBP2,protein_coding,RIMS binding protein 2
chr10_hap1_hsa12,137399000,137400000,Eastern,9.007563923,RIMBP2,RIMBP2,protein_coding,RIMS binding protein 2
chr6_hap1_hsa7,162733000,162734000,Central,9.007312583,CNTNAP2,CNTNAP2,protein_coding,contactin associated protein 2
chr2_hap1_hsa3,177268000,177269000,Eastern,9.007301099,NLGN1,NLGN1,protein_coding,neuroligin 1
chr6_hap1_hsa7,41947000,41948000,Eastern,9.007297374,EEPD1,EEPD1,protein_coding,endonuclease/exonuclease/phosphatase family domain containing 1
chr19_hap1_hsa17,16633000,16634000,Eastern,9.006313003,WSCD1,WSCD1,protein_coding,WSC domain containing 1
chr5_hap1_hsa6,16852000,16853000,Eastern,9.005909619,SYCP2L,SYCP2L,protein_coding,synaptonemal complex protein 2 like
chr3_hap1_hsa4,183776000,183777000,Eastern,9.00556002,TENM3,TENM3,protein_coding,teneurin transmembrane protein 3
chr8_hap1_hsa10,139352000,139353000,Central,9.004324683,DOCK1,DOCK1,protein_coding,dedicator of cytokinesis 1
chr18_hap1_hsa16,15056000,15057000,Eastern,9.003010197,SNX29,SNX29,protein_coding,sorting nexin 29
chr5_hap1_hsa6,175353000,175354000,Eastern,9.002942425,PACRG,PACRG,protein_coding,parkin coregulated
chr15_hap1_hsa14,76724000,76725000,Eastern,9.002202753,NRXN3,NRXN3,protein_coding,neurexin 3
chr6_hap1_hsa7,119871000,119872000,Eastern,9.001836314,LHFPL3,LHFPL3,protein_coding,LHFPL tetraspan subfamily member 3
chr14_hap1_hsa13,42684000,42685000,Eastern,9.001498266,ENOX1,ENOX1,protein_coding,ecto-NOX disulfide-thiol exchanger 1
chr21_hap1_hsa20,9039000,9040000,Eastern,9.000776347,TGM6,TGM6,protein_coding,transglutaminase 6
chr9_hap1_hsa11,9768000,9769000,Central,9.000415357,TRIM34,TRIM34,protein_coding,tripartite motif containing 34
chr3_hap1_hsa4,163771000,163772000,Eastern,9.00029244,FSTL5,FSTL5,protein_coding,follistatin like 5
chr7_hap1_hsa8,17036000,17037000,Eastern,8.998902122,XKR6,XKR6,protein_coding,XK related 6
chr8_hap1_hsa10,69555000,69556000,Eastern,8.998149787,LOC104008182,LOC104008182,protein_coding,deoxycytidine kinase-like
chr13_hap1_hsa2b,130331000,130332000,Central,8.99797081,SPHKAP,SPHKAP,protein_coding,SPHK1 interactor%2C AKAP domain containing
chr13_hap1_hsa2b,130331000,130332000,Eastern,8.99797081,SPHKAP,SPHKAP,protein_coding,SPHK1 interactor%2C AKAP domain containing
chr13_hap1_hsa2b,107217000,107218000,Eastern,8.997910574,PARD3B,PARD3B,protein_coding,par-3 family cell polarity regulator beta
chr9_hap1_hsa11,27045000,27046000,Eastern,8.997773453,GAS2,GAS2,protein_coding,growth arrest specific 2
chr2_hap1_hsa3,72456000,72457000,Central,8.997636904,LOC134806951,TAFA1,protein_coding,TAFA chemokine like family member 1
chr6_hap1_hsa7,98588000,98589000,Eastern,8.997054411,ZNF804B,ZNF804B,protein_coding,zinc finger protein 804B
chr16_hap1_hsa15,92088000,92089000,Eastern,8.996296952,ADAMTS17,ADAMTS17,protein_coding,ADAM metallopeptidase with thrombospondin type 1 motif 17
chr4_hap1_hsa5,176651000,176652000,Central,8.99569014,ADAMTS2,ADAMTS2,protein_coding,ADAM metallopeptidase with thrombospondin type 1 motif 2
chr9_hap1_hsa11,9100000,9101000,Eastern,8.995638756,MMP26,MMP26,protein_coding,matrix metallopeptidase 26
chr1_hap1_hsa1,216157000,216158000,Eastern,8.994506442,KAZN,KAZN,protein_coding,kazrin%2C periplakin interacting protein
chr2_hap1_hsa3,11499000,11500000,Eastern,8.993808886,GRM7,GRM7,protein_coding,glutamate metabotropic receptor 7
chr21_hap1_hsa20,26647000,26648000,Eastern,8.993272484,CFAP61,CFAP61,protein_coding,cilia and flagella associated protein 61
