sample,sequence,count
PR01100.hap1.chr,chr2_hap1_hsa3,26
PR01100.hap1.chr,chr3_hap1_hsa4,12
PR01100.hap1.chr,chr4_hap1_hsa5,19
PR01100.hap1.chr,chr5_hap1_hsa6,19
PR01100.hap1.chr,chr6_hap1_hsa7,19
PR01100.hap1.chr,chr7_hap1_hsa8,24
PR01100.hap1.chr,chr8_hap1_hsa10,39
PR01100.hap1.chr,chr9_hap1_hsa11,7
PR01100.hap1.chr,chr10_hap1_hsa12,9
PR01100.hap1.chr,chr11_hap1_hsa9,20
PR01100.hap1.chr,chr12_hap1_hsa2a,10
PR01100.hap1.chr,chr13_hap1_hsa2b,3
PR01100.hap1.chr,chr14_hap1_hsa13,23
PR01100.hap1.chr,chr15_hap1_hsa14,12
PR01100.hap1.chr,chr16_hap1_hsa15,10
PR01100.hap1.chr,chr17_hap1_hsa18,7
PR01100.hap1.chr,chr18_hap1_hsa16,33
PR01100.hap1.chr,chr19_hap1_hsa17,28
PR01100.hap1.chr,chr20_hap1_hsa19,30
PR01100.hap1.chr,chr21_hap1_hsa20,16
PR01100.hap1.chr,chr22_hap1_hsa21,9
PR01100.hap1.chr,chr23_hap1_hsa22,34
PR01100.hap1.chr,chrX_hap1_hsaX,20
PR01100.hap1.chr,chrY_hap2_hsaY,8
PR01100.hap2.chr,chr1_hap1_hsa1,48
PR01100.hap2.chr,chr2_hap1_hsa3,8
PR01100.hap2.chr,chr3_hap1_hsa4,26
PR01100.hap2.chr,chr4_hap1_hsa5,14
PR01100.hap2.chr,chr5_hap1_hsa6,14
PR01100.hap2.chr,chr6_hap1_hsa7,32
PR01100.hap2.chr,chr7_hap1_hsa8,19
PR01100.hap2.chr,chr8_hap1_hsa10,19
PR01100.hap2.chr,chr9_hap1_hsa11,1
PR01100.hap2.chr,chr10_hap1_hsa12,17
PR01100.hap2.chr,chr11_hap1_hsa9,11
PR01100.hap2.chr,chr12_hap1_hsa2a,14
PR01100.hap2.chr,chr13_hap1_hsa2b,9
PR01100.hap2.chr,chr14_hap1_hsa13,39
PR01100.hap2.chr,chr15_hap1_hsa14,4
PR01100.hap2.chr,chr16_hap1_hsa15,18
PR01100.hap2.chr,chr17_hap1_hsa18,23
PR01100.hap2.chr,chr18_hap1_hsa16,8
PR01100.hap2.chr,chr19_hap1_hsa17,30
PR01100.hap2.chr,chr20_hap1_hsa19,25
PR01100.hap2.chr,chr21_hap1_hsa20,13
PR01100.hap2.chr,chr22_hap1_hsa21,8
PR01100.hap2.chr,chr23_hap1_hsa22,22
PR01100.hap2.chr,chrX_hap1_hsaX,20
PR01100.hap2.chr,chrY_hap2_hsaY,8
PR01223.hap1.chr,chr1_hap1_hsa1,19
PR01223.hap1.chr,chr2_hap1_hsa3,10
PR01223.hap1.chr,chr3_hap1_hsa4,8
PR01223.hap1.chr,chr4_hap1_hsa5,7
PR01223.hap1.chr,chr5_hap1_hsa6,4
PR01223.hap1.chr,chr6_hap1_hsa7,34
PR01223.hap1.chr,chr7_hap1_hsa8,13
PR01223.hap1.chr,chr8_hap1_hsa10,19
PR01223.hap1.chr,chr9_hap1_hsa11,6
PR01223.hap1.chr,chr10_hap1_hsa12,6
PR01223.hap1.chr,chr11_hap1_hsa9,8
PR01223.hap1.chr,chr12_hap1_hsa2a,23
PR01223.hap1.chr,chr13_hap1_hsa2b,7
PR01223.hap1.chr,chr14_hap1_hsa13,10
PR01223.hap1.chr,chr15_hap1_hsa14,10
PR01223.hap1.chr,chr16_hap1_hsa15,9
PR01223.hap1.chr,chr17_hap1_hsa18,7
PR01223.hap1.chr,chr18_hap1_hsa16,18
PR01223.hap1.chr,chr19_hap1_hsa17,44
PR01223.hap1.chr,chr20_hap1_hsa19,26
PR01223.hap1.chr,chr21_hap1_hsa20,18
PR01223.hap1.chr,chr22_hap1_hsa21,12
PR01223.hap1.chr,chr23_hap1_hsa22,16
PR01223.hap1.chr,chrX_hap1_hsaX,30
PR01223.hap1.chr,chrY_hap2_hsaY,6
PR01223.hap2.chr,chr1_hap1_hsa1,6
PR01223.hap2.chr,chr2_hap1_hsa3,15
PR01223.hap2.chr,chr3_hap1_hsa4,24
PR01223.hap2.chr,chr4_hap1_hsa5,11
PR01223.hap2.chr,chr5_hap1_hsa6,8
PR01223.hap2.chr,chr6_hap1_hsa7,11
PR01223.hap2.chr,chr7_hap1_hsa8,24
PR01223.hap2.chr,chr8_hap1_hsa10,7
PR01223.hap2.chr,chr9_hap1_hsa11,6
PR01223.hap2.chr,chr10_hap1_hsa12,12
PR01223.hap2.chr,chr11_hap1_hsa9,14
PR01223.hap2.chr,chr12_hap1_hsa2a,24
PR01223.hap2.chr,chr13_hap1_hsa2b,9
PR01223.hap2.chr,chr14_hap1_hsa13,13
PR01223.hap2.chr,chr15_hap1_hsa14,3
PR01223.hap2.chr,chr16_hap1_hsa15,19
PR01223.hap2.chr,chr17_hap1_hsa18,8
PR01223.hap2.chr,chr18_hap1_hsa16,16
PR01223.hap2.chr,chr19_hap1_hsa17,26
PR01223.hap2.chr,chr20_hap1_hsa19,16
PR01223.hap2.chr,chr21_hap1_hsa20,6
PR01223.hap2.chr,chr22_hap1_hsa21,13
PR01223.hap2.chr,chr23_hap1_hsa22,29
PR01223.hap2.chr,chrX_hap1_hsaX,32
PR01223.hap2.chr,chrY_hap2_hsaY,6
PR01225.hap1.chr,chr1_hap1_hsa1,23
PR01225.hap1.chr,chr2_hap1_hsa3,16
PR01225.hap1.chr,chr3_hap1_hsa4,25
PR01225.hap1.chr,chr4_hap1_hsa5,19
PR01225.hap1.chr,chr5_hap1_hsa6,14
PR01225.hap1.chr,chr6_hap1_hsa7,25
PR01225.hap1.chr,chr7_hap1_hsa8,29
PR01225.hap1.chr,chr8_hap1_hsa10,55
PR01225.hap1.chr,chr9_hap1_hsa11,15
PR01225.hap1.chr,chr10_hap1_hsa12,21
PR01225.hap1.chr,chr11_hap1_hsa9,20
PR01225.hap1.chr,chr12_hap1_hsa2a,48
PR01225.hap1.chr,chr13_hap1_hsa2b,20
PR01225.hap1.chr,chr14_hap1_hsa13,41
PR01225.hap1.chr,chr15_hap1_hsa14,35
PR01225.hap1.chr,chr16_hap1_hsa15,47
PR01225.hap1.chr,chr17_hap1_hsa18,18
PR01225.hap1.chr,chr18_hap1_hsa16,21
PR01225.hap1.chr,chr19_hap1_hsa17,28
PR01225.hap1.chr,chr20_hap1_hsa19,59
PR01225.hap1.chr,chr21_hap1_hsa20,38
PR01225.hap1.chr,chr22_hap1_hsa21,20
PR01225.hap1.chr,chr23_hap1_hsa22,24
PR01225.hap1.chr,chrX_hap1_hsaX,34
PR01225.hap1.chr,chrY_hap2_hsaY,13
PR01225.hap2.chr,chr1_hap1_hsa1,55
PR01225.hap2.chr,chr2_hap1_hsa3,35
PR01225.hap2.chr,chr3_hap1_hsa4,42
PR01225.hap2.chr,chr4_hap1_hsa5,27
PR01225.hap2.chr,chr5_hap1_hsa6,31
PR01225.hap2.chr,chr6_hap1_hsa7,72
PR01225.hap2.chr,chr7_hap1_hsa8,43
PR01225.hap2.chr,chr8_hap1_hsa10,55
PR01225.hap2.chr,chr9_hap1_hsa11,20
PR01225.hap2.chr,chr10_hap1_hsa12,36
PR01225.hap2.chr,chr11_hap1_hsa9,26
PR01225.hap2.chr,chr12_hap1_hsa2a,35
PR01225.hap2.chr,chr13_hap1_hsa2b,62
PR01225.hap2.chr,chr14_hap1_hsa13,28
PR01225.hap2.chr,chr15_hap1_hsa14,33
PR01225.hap2.chr,chr16_hap1_hsa15,30
PR01225.hap2.chr,chr17_hap1_hsa18,15
PR01225.hap2.chr,chr18_hap1_hsa16,48
PR01225.hap2.chr,chr19_hap1_hsa17,36
PR01225.hap2.chr,chr20_hap1_hsa19,64
PR01225.hap2.chr,chr21_hap1_hsa20,28
PR01225.hap2.chr,chr22_hap1_hsa21,27
PR01225.hap2.chr,chr23_hap1_hsa22,30
PR01225.hap2.chr,chrX_hap1_hsaX,35
PR01225.hap2.chr,chrY_hap2_hsaY,10
PR01227.hap1.chr,chr1_hap1_hsa1,2
PR01227.hap1.chr,chr2_hap1_hsa3,3
PR01227.hap1.chr,chr3_hap1_hsa4,1
PR01227.hap1.chr,chr4_hap1_hsa5,1
PR01227.hap1.chr,chr5_hap1_hsa6,0
PR01227.hap1.chr,chr6_hap1_hsa7,2
PR01227.hap1.chr,chr7_hap1_hsa8,0
PR01227.hap1.chr,chr8_hap1_hsa10,1
PR01227.hap1.chr,chr9_hap1_hsa11,0
PR01227.hap1.chr,chr10_hap1_hsa12,2
PR01227.hap1.chr,chr11_hap1_hsa9,0
PR01227.hap1.chr,chr12_hap1_hsa2a,0
PR01227.hap1.chr,chr13_hap1_hsa2b,0
PR01227.hap1.chr,chr14_hap1_hsa13,1
PR01227.hap1.chr,chr15_hap1_hsa14,5
PR01227.hap1.chr,chr16_hap1_hsa15,3
PR01227.hap1.chr,chr17_hap1_hsa18,5
PR01227.hap1.chr,chr18_hap1_hsa16,8
PR01227.hap1.chr,chr19_hap1_hsa17,4
PR01227.hap1.chr,chr20_hap1_hsa19,2
PR01227.hap1.chr,chr21_hap1_hsa20,0
PR01227.hap1.chr,chr22_hap1_hsa21,5
PR01227.hap1.chr,chr23_hap1_hsa22,1
PR01227.hap1.chr,chrY_hap2_hsaY,1
PR01227.hap2.chr,chr1_hap1_hsa1,2
PR01227.hap2.chr,chr2_hap1_hsa3,2
PR01227.hap2.chr,chr3_hap1_hsa4,1
PR01227.hap2.chr,chr4_hap1_hsa5,1
PR01227.hap2.chr,chr5_hap1_hsa6,0
PR01227.hap2.chr,chr6_hap1_hsa7,2
PR01227.hap2.chr,chr7_hap1_hsa8,0
PR01227.hap2.chr,chr8_hap1_hsa10,2
PR01227.hap2.chr,chr9_hap1_hsa11,0
PR01227.hap2.chr,chr10_hap1_hsa12,1
PR01227.hap2.chr,chr11_hap1_hsa9,1
PR01227.hap2.chr,chr12_hap1_hsa2a,1
PR01227.hap2.chr,chr13_hap1_hsa2b,0
PR01227.hap2.chr,chr14_hap1_hsa13,6
PR01227.hap2.chr,chr15_hap1_hsa14,1
PR01227.hap2.chr,chr16_hap1_hsa15,0
PR01227.hap2.chr,chr17_hap1_hsa18,8
PR01227.hap2.chr,chr18_hap1_hsa16,5
PR01227.hap2.chr,chr19_hap1_hsa17,0
PR01227.hap2.chr,chr20_hap1_hsa19,1
PR01227.hap2.chr,chr21_hap1_hsa20,2
PR01227.hap2.chr,chr22_hap1_hsa21,8
PR01227.hap2.chr,chr23_hap1_hsa22,4
PR01227.hap2.chr,chrX_hap1_hsaX,0
PR01227.hap2.chr,chrY_hap2_hsaY,2
PR01228.hap1.chr,chr1_hap1_hsa1,17
PR01228.hap1.chr,chr2_hap1_hsa3,22
PR01228.hap1.chr,chr3_hap1_hsa4,17
PR01228.hap1.chr,chr4_hap1_hsa5,7
PR01228.hap1.chr,chr5_hap1_hsa6,20
PR01228.hap1.chr,chr6_hap1_hsa7,26
PR01228.hap1.chr,chr7_hap1_hsa8,36
PR01228.hap1.chr,chr8_hap1_hsa10,33
PR01228.hap1.chr,chr9_hap1_hsa11,8
PR01228.hap1.chr,chr10_hap1_hsa12,11
PR01228.hap1.chr,chr11_hap1_hsa9,16
PR01228.hap1.chr,chr12_hap1_hsa2a,26
PR01228.hap1.chr,chr13_hap1_hsa2b,14
PR01228.hap1.chr,chr14_hap1_hsa13,17
PR01228.hap1.chr,chr15_hap1_hsa14,3
PR01228.hap1.chr,chr16_hap1_hsa15,13
PR01228.hap1.chr,chr17_hap1_hsa18,21
PR01228.hap1.chr,chr18_hap1_hsa16,31
PR01228.hap1.chr,chr19_hap1_hsa17,27
PR01228.hap1.chr,chr20_hap1_hsa19,46
PR01228.hap1.chr,chr21_hap1_hsa20,21
PR01228.hap1.chr,chr22_hap1_hsa21,25
PR01228.hap1.chr,chr23_hap1_hsa22,16
PR01228.hap1.chr,chrX_hap1_hsaX,28
PR01228.hap1.chr,chrY_hap2_hsaY,4
PR01228.hap2.chr,chr1_hap1_hsa1,39
PR01228.hap2.chr,chr2_hap1_hsa3,41
PR01228.hap2.chr,chr3_hap1_hsa4,22
PR01228.hap2.chr,chr4_hap1_hsa5,22
PR01228.hap2.chr,chr5_hap1_hsa6,17
PR01228.hap2.chr,chr6_hap1_hsa7,21
PR01228.hap2.chr,chr7_hap1_hsa8,25
PR01228.hap2.chr,chr8_hap1_hsa10,39
PR01228.hap2.chr,chr9_hap1_hsa11,19
PR01228.hap2.chr,chr10_hap1_hsa12,20
PR01228.hap2.chr,chr11_hap1_hsa9,32
PR01228.hap2.chr,chr12_hap1_hsa2a,24
PR01228.hap2.chr,chr13_hap1_hsa2b,30
PR01228.hap2.chr,chr14_hap1_hsa13,31
PR01228.hap2.chr,chr15_hap1_hsa14,15
PR01228.hap2.chr,chr16_hap1_hsa15,30
PR01228.hap2.chr,chr17_hap1_hsa18,21
PR01228.hap2.chr,chr18_hap1_hsa16,22
PR01228.hap2.chr,chr19_hap1_hsa17,30
PR01228.hap2.chr,chr20_hap1_hsa19,32
PR01228.hap2.chr,chr21_hap1_hsa20,17
PR01228.hap2.chr,chr22_hap1_hsa21,21
PR01228.hap2.chr,chr23_hap1_hsa22,13
PR01228.hap2.chr,chrX_hap1_hsaX,30
PR01228.hap2.chr,chrY_hap2_hsaY,4
