chromosome,start,end,population,avg_tmrca_myr,T_within_myr,Tpooled_Twithin_ratio,genes,gene_biotypes,descriptions,tr_overlap_percent,SRA_overlap_percent,
chr14_hap1_hsa13,83775000,83776000,Central,9.415119388,9.415119388,0.481501199,LOC134808141,lncRNA,uncharacterized LOC134808141,0,99,
chr7_hap1_hsa8,17256000,17257000,Central,9.919449246,9.411001857,0.556617384,LOC472696,protein_coding,large ribosomal subunit protein eL19,2.2,100,
chr13_hap1_hsa2b,54943000,54944000,Central,9.523548314,9.406621002,0.539039402,LOC134808084,lncRNA,uncharacterized LOC134808084,0,39.4,
chr5_hap1_hsa6,35358000,35359000,Central,9.439882372,9.398844121,0.502410247,OR11A1,protein_coding,olfactory receptor family 11 subfamily A member 1,1.8,37.3,
chr8_hap1_hsa10,144352000,144353000,Central,14.86706308,9.390723329,0.802920088,JAKMIP3,protein_coding,Janus kinase and microtubule interacting protein 3,1.9,21.8,
chr7_hap1_hsa8,148164000,148165000,Central,9.465675227,9.390509929,0.48278987,LOC107976454,lncRNA,uncharacterized LOC107976454,0,91.1,
chr5_hap1_hsa6,35680000,35681000,Eastern,14.24959436,9.388608833,0.776069248,LOC134810183,protein_coding,MHC class I polypeptide-related sequence B-like,2.2,65.2,
chr23_hap1_hsa22,49928000,49929000,Western,15.03493981,9.385963438,0.892169149,LOC134809706,lncRNA,uncharacterized LOC134809706,1.9,93.3,
chr7_hap1_hsa8,23866000,23867000,Western,15.64812697,9.370026624,0.928317326,TUSC3,protein_coding,tumor suppressor candidate 3,0,100,
chr11_hap1_hsa9,115550000,115551000,Western,17.92368873,9.368138378,0.654382479,DOCK8,protein_coding,dedicator of cytokinesis 8,2.7,87.7,
chr1_hap1_hsa1,228315000,228316000,Central,10.45934431,9.35826347,0.542493757,CCDC27,protein_coding,coiled-coil domain containing 27,3.5,26.4,
chr9_hap1_hsa11,4410000,4411000,Eastern,13.9717894,9.357397448,0.756952001,SIRT3,protein_coding,sirtuin 3,1.1,23.6,
chr2_hap1_hsa3,64862000,64863000,Central,9.595173979,9.352290568,0.531302079,FHIT,protein_coding,fragile histidine triad diadenosine triphosphatase,4.6,99.7,
chr3_hap1_hsa4,42637000,42638000,Central,9.474378677,9.350461397,0.510999403,LOC107974243,lncRNA,uncharacterized LOC107974243,1.1,27.4,
chr2_hap1_hsa3,197633000,197634000,Eastern,14.1388514,9.346232175,0.771955529,ATP13A3,protein_coding,ATPase 13A3,2.8,52.2,
chr1_hap1_hsa1,117085000,117086000,Central,9.474814499,9.33543405,0.475853324,NOTCH2,protein_coding,notch receptor 2,1.8,99,
chr6_hap1_hsa7,170491000,170492000,Central,15.29648556,9.334568758,0.661883184,LOC134810599,lncRNA,uncharacterized LOC134810599,2.7,33.3,
chr4_hap1_hsa5,2382000,2383000,Western,15.90884369,9.332236282,0.826400159,LOC104006319,lncRNA,uncharacterized LOC104006319,0,28.1,
chr10_hap1_hsa12,122381000,122382000,Central,9.34195552,9.331424247,0.433648356,LOC107967649,lncRNA,uncharacterized LOC107967649,1.6,97.5,
chr6_hap1_hsa7,159682000,159683000,Central,9.329144427,9.326413246,0.482359584,TPK1,protein_coding,thiamin pyrophosphokinase 1,1.1,95.9,
chr4_hap1_hsa5,150228000,150229000,Central,9.36432581,9.323603535,0.547262605,LOC134810119,lncRNA,uncharacterized LOC134810119,0,100,
chr1_hap1_hsa1,88502000,88503000,Central,9.479639318,9.312545915,0.580504659,CD48,protein_coding,CD48 molecule,0,26.2,
chr14_hap1_hsa13,36363000,36364000,Central,9.400157261,9.308806767,0.508264316,LOC134808122,lncRNA,uncharacterized LOC134808122,1.2,67.9,
chr1_hap1_hsa1,227517000,227518000,Central,9.438142764,9.308510532,0.540387125,LOC129143141,lncRNA,uncharacterized LOC129143141,0,100,
chr12_hap1_hsa2a,46301000,46302000,Central,9.302930355,9.302930355,0.468974584,LOC129143146,protein_coding,uncharacterized LOC129143146,0,63.5,
chr16_hap1_hsa15,92644000,92645000,Central,9.75876761,9.301887958,0.587464597,LOC134808486,lncRNA,uncharacterized LOC134808486,2.8,80,
chr3_hap1_hsa4,189324000,189325000,Central,9.951725691,9.30055238,0.486961399,LOC129143802,lncRNA,uncharacterized LOC129143802,0,50.9,
chr20_hap1_hsa19,56170000,56171000,Western,15.64379407,9.30026983,0.943099775,ZNF845,protein_coding,zinc finger protein 845,3.4,29.5,
chr20_hap1_hsa19,57161000,57162000,Central,10.13858395,9.299416584,0.573711106,LILRA5,protein_coding,leukocyte immunoglobulin like receptor A5,2.9,93.4,
chr16_hap1_hsa15,80640000,80641000,Central,9.436044385,9.297197057,0.577206952,ACAN,protein_coding,aggrecan,5,55.3,
chr1_hap1_hsa1,11753000,11754000,Central,9.315989723,9.290203556,0.368396966,RYR2,protein_coding,ryanodine receptor 2,1.6,96,
chr5_hap1_hsa6,38776000,38777000,Eastern,13.24009679,9.276492988,0.750945492,LOC129144234,lncRNA,uncharacterized LOC129144234,4.9,65.4,
chr8_hap1_hsa10,139431000,139432000,Eastern,14.08364923,9.272093427,0.846447379,DOCK1,protein_coding,dedicator of cytokinesis 1,2.5,75.6,
chr18_hap1_hsa16,72986000,72987000,Central,9.309590798,9.271565456,0.572326412,WDR59,protein_coding,WD repeat domain 59,2.9,57.3,
chr9_hap1_hsa11,133617000,133618000,Central,11.42298054,9.265261437,0.611538947,NTM,protein_coding,neurotrimin,0,57.2,
chr10_hap1_hsa12,135735000,135736000,Eastern,13.53675806,9.25851591,0.719052215,GLT1D1,protein_coding,glycosyltransferase 1 domain containing 1,2.2,58.1,
chr13_hap1_hsa2b,111028000,111029000,Western,16.33963699,9.258360439,0.971731181,LOC134808004,lncRNA,uncharacterized LOC134808004,0,31.5,
chr10_hap1_hsa12,18080000,18081000,Central,9.268363554,9.258000851,0.566370496,LOC739542,protein_coding,salivary acidic proline-rich phosphoprotein 1/2,4.1,72.5,
chr14_hap1_hsa13,83339000,83340000,Eastern,13.53495299,9.255919578,0.74596498,LOC100611617,protein_coding,putative UPF0607 protein ENSP00000383144,0,23.1,
chr4_hap1_hsa5,178394000,178395000,Central,16.11622521,9.254614014,0.851386643,BTNL8,protein_coding,butyrophilin like 8,3,25.3,
chr16_hap1_hsa15,92018000,92019000,Eastern,13.87380052,9.247478695,0.454106944,ADAMTS17,protein_coding,ADAM metallopeptidase with thrombospondin type 1 motif 17,0,80.6,
chr3_hap1_hsa4,187504000,187505000,Central,9.820906398,9.245821123,0.580726565,SORBS2,protein_coding,sorbin and SH3 domain containing 2,4.8,92.5,
chr5_hap1_hsa6,36033000,36034000,Eastern,13.19177067,9.245170685,0.771742202,TRIM31,protein_coding,tripartite motif containing 31,1.7,97.3,
chr14_hap1_hsa13,18600000,18601000,Central,9.27391008,9.238068153,0.577273134,LOC129136901,protein_coding,protein mono-ADP-ribosyltransferase PARP4-like,0,41.6,
chr6_hap1_hsa7,9888000,9889000,Central,9.762544217,9.23544762,0.584043799,SDK1,protein_coding,sidekick cell adhesion molecule 1,3.4,87.4,
chr12_hap1_hsa2a,120153000,120154000,Eastern,11.73380254,9.229262991,0.463926284,LOC104004850,lncRNA,uncharacterized LOC104004850,2.4,31.9,
chr6_hap1_hsa7,41961000,41962000,Central,9.236960714,9.227227414,0.572869555,EEPD1,protein_coding,endonuclease/exonuclease/phosphatase family domain containing 1,2.9,99.6,
chr15_hap1_hsa14,19065000,19066000,Central,10.11642179,9.219965121,0.637560936,TRNAP-UGG,tRNA,transfer RNA proline (anticodon UGG),0,97.2,
chr10_hap1_hsa12,74806000,74807000,Central,9.222880347,9.215841774,0.440440378,LOC107966622,lncRNA,uncharacterized LOC107966622,3.9,91.5,
chr3_hap1_hsa4,7832000,7833000,Eastern,12.26087506,9.21412872,0.737631228,SORCS2,protein_coding,sortilin related VPS10 domain containing receptor 2,2.8,80.4,
chr7_hap1_hsa8,17254000,17255000,Eastern,12.61959772,9.212427489,0.55672861,LOC472696,protein_coding,large ribosomal subunit protein eL19,1.1,100,
chr4_hap1_hsa5,177595000,177596000,Western,17.10477126,9.212230684,0.909752921,RASGEF1C,protein_coding,RasGEF domain family member 1C,0,27.8,
chr13_hap1_hsa2b,129450000,129451000,Central,9.691242694,9.206047079,0.600127838,COL4A3,protein_coding,collagen type IV alpha 3 chain,0,100,
chr4_hap1_hsa5,175740000,175741000,Central,9.441341748,9.20586565,0.581075453,COL23A1,protein_coding,collagen type XXIII alpha 1 chain,1.1,77.5,
chr1_hap1_hsa1,15223000,15224000,Central,9.207411309,9.203280026,0.544736827,SLC35F3,protein_coding,solute carrier family 35 member F3,0,86,
chr13_hap1_hsa2b,139607000,139608000,Central,9.384039596,9.200116262,0.358005104,LOC104005429,lncRNA,uncharacterized LOC104005429,0,90.9,
chr2_hap1_hsa3,195468000,195469000,Central,9.236145035,9.198989916,0.432167312,FGF12,protein_coding,fibroblast growth factor 12,0,97,
chr10_hap1_hsa12,92518000,92519000,Central,9.190858254,9.18358632,0.493761372,LOC129136666,lncRNA,uncharacterized LOC129136666,1.4,98.2,
chr12_hap1_hsa2a,87702000,87703000,Central,9.268342948,9.182923884,0.434137934,LOC107973431,lncRNA,uncharacterized LOC107973431,0,98.6,
chr16_hap1_hsa15,7109000,7110000,Central,13.18697334,9.178670427,0.737603832,LOC100613625,protein_coding,putative golgin subfamily A member 8G,2.9,59.4,
chr7_hap1_hsa8,59049000,59050000,Western,15.72149908,9.175585575,0.819943028,SNTG1,protein_coding,syntrophin gamma 1,0,53.9,
chr1_hap1_hsa1,226175000,226176000,Central,9.215091837,9.173567147,0.487810755,LOC129136404,protein_coding,uncharacterized LOC129136404,3.8,43.7,
chr16_hap1_hsa15,45644000,45645000,Central,9.310114118,9.155183198,0.564322784,WDR72,protein_coding,WD repeat domain 72,1.7,89.2,
chr6_hap1_hsa7,162106000,162107000,Central,9.728430414,9.150630229,0.514432043,CNTNAP2,protein_coding,contactin associated protein 2,0,100,
chr6_hap1_hsa7,84181000,84182000,Central,9.188159317,9.15056307,0.565630691,CALN1,protein_coding,calneuron 1,0,71.8,
chr10_hap1_hsa12,77479000,77480000,Central,9.218190072,9.147787238,0.435781178,PTPRR,protein_coding,protein tyrosine phosphatase receptor type R,1.5,100,
chr18_hap1_hsa16,80244000,80245000,Central,10.33215883,9.147074393,0.55260344,HSD17B2,protein_coding,hydroxysteroid 17-beta dehydrogenase 2,0,99.6,
chr18_hap1_hsa16,55930000,55931000,Central,9.282449046,9.142538738,0.545792914,CNGB1,protein_coding,cyclic nucleotide gated channel subunit beta 1,4.6,59.1,
chr3_hap1_hsa4,182478000,182479000,Central,9.524644665,9.141955996,0.514870299,TENM3,protein_coding,teneurin transmembrane protein 3,0,100,
chr7_hap1_hsa8,16495000,16496000,Eastern,11.95763587,9.139634832,0.53850215,PRSS51,protein_coding,serine protease 51,0,89.3,
chr5_hap1_hsa6,38996000,38997000,Western,17.3653179,9.135152675,0.970969509,LOC100610904,protein_coding,HLA class II histocompatibility antigen%2C DP beta 1 chain-like,0,100,
chr7_hap1_hsa8,24551000,24552000,Central,9.264915896,9.133295168,0.388031233,LOC107976248,lncRNA,uncharacterized LOC107976248,1.5,60.4,
chr17_hap1_hsa18,82641000,82642000,Central,9.130124371,9.129515193,0.493129164,CBLN2,protein_coding,cerebellin 2 precursor,4.3,99.6,
chr10_hap1_hsa12,136196000,136197000,Eastern,11.98390271,9.126447497,0.520713183,TMEM132D,protein_coding,transmembrane protein 132D,3.2,79,
chr7_hap1_hsa8,26206000,26207000,Central,9.128149559,9.1241828,0.547621778,FGL1,protein_coding,fibrinogen like 1,1.5,100,
chr5_hap1_hsa6,82050000,82051000,Central,9.125147826,9.120342422,0.533673322,COL19A1,protein_coding,collagen type XIX alpha 1 chain,0,100,
chr18_hap1_hsa16,86170000,86171000,Central,10.02155488,9.12013071,0.601639446,BANP,protein_coding,BTG3 associated nuclear protein,0,76.7,
chr7_hap1_hsa8,26518000,26519000,Central,9.33852343,9.11985662,0.575459349,NAT1,protein_coding,N-acetyltransferase 1,0,100,
chr10_hap1_hsa12,126431000,126432000,Central,9.171673772,9.117569211,0.441471111,LOC104001710,lncRNA,uncharacterized LOC104001710,1.5,100,
chr10_hap1_hsa12,77931000,77932000,Central,9.459079313,9.116217943,0.480213691,TSPAN8,protein_coding,tetraspanin 8,2.3,98.2,
chr9_hap1_hsa11,82149000,82150000,Eastern,12.96170144,9.106701462,0.780228257,TENM4,protein_coding,teneurin transmembrane protein 4,1.2,99.9,
chr14_hap1_hsa13,36826000,36827000,Central,9.112672359,9.104852817,0.554302185,TRPC4,protein_coding,transient receptor potential cation channel subfamily C member 4,0,41.5,
chr8_hap1_hsa10,57957000,57958000,Central,9.120616782,9.103509956,0.549255194,LOC107966728,protein_coding,ras suppressor protein 1-like,1.5,99.7,
chr10_hap1_hsa12,9611000,9612000,Eastern,14.05631338,9.10178755,0.82464167,CACNA1C,protein_coding,calcium voltage-gated channel subunit alpha1 C,3.9,79.2,
chr4_hap1_hsa5,160974000,160975000,Central,9.164641459,9.098564093,0.468178173,LOC104006625,lncRNA,uncharacterized LOC104006625,3.9,84.7,
chr21_hap1_hsa20,60855000,60856000,Central,9.171442682,9.098101424,0.565833643,DOK5,protein_coding,docking protein 5,1.4,96.3,
chr8_hap1_hsa10,68542000,68543000,Central,9.343704015,9.097802394,0.594023895,LOC134807169,lncRNA,uncharacterized LOC134807169,2.9,40.4,
chr1_hap1_hsa1,1342000,1343000,Central,10.28987487,9.096546492,0.579379431,LOC104004828,protein_coding,uncharacterized LOC104004828,0,100,
chr5_hap1_hsa6,9794000,9795000,Central,9.8512505,9.095630403,0.563136769,FAM50B,protein_coding,family with sequence similarity 50 member B,4.1,71.6,
chr6_hap1_hsa7,7580000,7581000,Central,10.31471248,9.093697642,0.613360354,LOC107975675,lncRNA,uncharacterized LOC107975675,4.7,56,
chr5_hap1_hsa6,8189000,8190000,Central,9.126920598,9.090021586,0.41978892,GMDS,protein_coding,GDP-mannose 4%2C6-dehydratase,3.2,49.9,
chr18_hap1_hsa16,9810000,9811000,Central,9.166873937,9.089094535,0.540790597,RBFOX1,protein_coding,RNA binding fox-1 homolog 1,0,99.9,
chr9_hap1_hsa11,40680000,40681000,Central,9.091295044,9.087285929,0.536760575,LOC134807344,lncRNA,uncharacterized LOC134807344,0,96.6,
chr12_hap1_hsa2a,42872000,42873000,Central,9.126229973,9.083705563,0.389697176,CTNNA2,protein_coding,catenin alpha 2,1.5,100,
chr5_hap1_hsa6,6631000,6632000,Central,9.104720229,9.083258479,0.557384223,EXOC2,protein_coding,exocyst complex component 2,3.4,93.3,
chr21_hap1_hsa20,22041000,22042000,Central,9.193839757,9.08167029,0.482325797,MACROD2,protein_coding,mono-ADP ribosylhydrolase 2,0,100,
chr11_hap1_hsa9,113305000,113306000,Central,9.283048815,9.080929109,0.451781002,VLDLR,protein_coding,very low density lipoprotein receptor,0,64.8,
chr3_hap1_hsa4,155397000,155398000,Central,9.303846185,9.075171775,0.549731667,TMEM131L,protein_coding,transmembrane 131 like,0,100,
chr9_hap1_hsa11,135279000,135280000,Eastern,13.54459244,9.070576385,0.623817993,OPCML,protein_coding,opioid binding protein/cell adhesion molecule like,4.9,48.4,
chr16_hap1_hsa15,78165000,78166000,Eastern,12.6343606,9.066859299,0.60614987,AGBL1,protein_coding,AGBL carboxypeptidase 1,0,97.7,
chr2_hap1_hsa3,182900000,182901000,Central,9.205503869,9.05989425,0.557138602,USP13,protein_coding,ubiquitin specific peptidase 13,1.1,98.1,
chr21_hap1_hsa20,26347000,26348000,Central,9.063510138,9.057943733,0.472492281,RIN2,protein_coding,Ras and Rab interactor 2,0,76,
chr3_hap1_hsa4,67713000,67714000,Central,9.112298442,9.054484515,0.526487681,LOC104006099,lncRNA,uncharacterized LOC104006099,3.9,100,
chr20_hap1_hsa19,6134000,6135000,Central,10.98289238,9.052087875,0.533418009,ZFR2,protein_coding,zinc finger RNA binding protein 2,0,38.8,
chr9_hap1_hsa11,44510000,44511000,Central,9.051013582,9.044314433,0.48538677,LRRC4C,protein_coding,leucine rich repeat containing 4C,1.9,34.8,
chr3_hap1_hsa4,6428000,6429000,Central,9.932408097,9.043729967,0.671135583,JAKMIP1,protein_coding,janus kinase and microtubule interacting protein 1,5,83.8,
chr8_hap1_hsa10,93775000,93776000,Central,9.131488255,9.039972871,0.471094137,LOC107966932,lncRNA,uncharacterized LOC107966932,3,91.1,
chr5_hap1_hsa6,173342000,173343000,Central,9.147330787,9.031225457,0.564953194,AGPAT4,protein_coding,1-acylglycerol-3-phosphate O-acyltransferase 4,3.9,85.6,
chr5_hap1_hsa6,30386000,30387000,Central,9.058304145,9.028714414,0.406232395,MRS2,protein_coding,magnesium transporter MRS2,1.1,68.8,
chr13_hap1_hsa2b,139698000,139699000,Eastern,11.99535808,9.026084811,0.543277281,MLPH,protein_coding,melanophilin,0,88,
chr3_hap1_hsa4,26328000,26329000,Central,9.039292057,9.019185192,0.498950743,LOC107974217,lncRNA,uncharacterized LOC107974217,4.7,31.2,
chr21_hap1_hsa20,15242000,15243000,Central,9.245313977,9.015176348,0.569775833,PLCB1,protein_coding,phospholipase C beta 1,0,87.8,
chr12_hap1_hsa2a,43633000,43634000,Eastern,12.34827012,9.013770708,0.444935973,LOC129141188,protein_coding,transcription factor NF-E4-like,3,27.5,
chr20_hap1_hsa19,58553000,58554000,Eastern,14.26977235,9.010786785,0.584005982,NLRP9,protein_coding,NLR family pyrin domain containing 9,2.3,74.9,
chr19_hap1_hsa17,91180000,91181000,Central,9.545358891,9.005895266,0.579018569,C17H17orf99,protein_coding,chromosome 17 C17orf99 homolog,2.2,31.8,
chr18_hap1_hsa16,2513000,2514000,Western,15.83966934,9.002494182,0.834450844,LOC129137268,protein_coding,hemoglobin subunit alpha-3-like,0,27.8,
chr21_hap1_hsa20,70579000,70580000,Central,12.07902441,9.000666938,0.688202413,MYT1,protein_coding,myelin transcription factor 1,1.1,30.5,
chr10_hap1_hsa12,27071000,27072000,Central,9.066494173,8.994444048,0.500865108,LOC112204983,lncRNA,uncharacterized LOC112204983,1.1,93.9,
chr6_hap1_hsa7,76830000,76831000,Central,9.030865056,8.993595458,0.566593744,LOC134810543,lncRNA,uncharacterized LOC134810543,0,96.9,
chr9_hap1_hsa11,134224000,134225000,Eastern,11.25035879,8.98974518,0.662064181,NTM,protein_coding,neurotrimin,0.6,83.7,
chr15_hap1_hsa14,20364000,20365000,Central,9.548518535,8.988423926,0.608449891,LOC743567,V_segment,T cell receptor alpha variable 8-6-like,1.9,100,
chr6_hap1_hsa7,80114000,80115000,Central,9.075764741,8.986056114,0.525075531,GALNT17,protein_coding,polypeptide N-acetylgalactosaminyltransferase 17,0,68.7,
chr4_hap1_hsa5,84123000,84124000,Eastern,12.99615643,8.983415327,0.199962372,LOC129143986,lncRNA,uncharacterized LOC129143986,0,71.8,
chr14_hap1_hsa13,106771000,106772000,Central,8.989427957,8.982237629,0.462057837,NALCN,protein_coding,sodium leak channel%2C non-selective,1.8,96.2,
chr5_hap1_hsa6,136216000,136217000,Central,9.078265149,8.974005081,0.585104785,NKAIN2,protein_coding,sodium/potassium transporting ATPase interacting 2,1.7,93.7,
chr21_hap1_hsa20,70579000,70580000,Eastern,12.07902441,8.964362906,0.690989507,MYT1,protein_coding,myelin transcription factor 1,1.1,30.5,
chr1_hap1_hsa1,174046000,174047000,Central,9.131388739,8.964032636,0.486626574,C8B,protein_coding,complement C8 beta chain,0,98.4,
chr1_hap1_hsa1,127938000,127939000,Eastern,12.57956423,8.95788813,0.444893005,LOC129144171,lncRNA,uncharacterized LOC129144171,0,90.5,
chr18_hap1_hsa16,88222000,88223000,Central,10.70983213,8.952725178,0.613302701,DBNDD1,protein_coding,dysbindin domain containing 1,0,53.8,
chr3_hap1_hsa4,24053000,24054000,Central,8.98468601,8.947515648,0.515140831,LOC461139,protein_coding,cytosolic beta-glucosidase,3.8,99.9,
chr5_hap1_hsa6,37245000,37246000,Western,19.61775774,8.94280176,0.888917804,PATR-B,protein_coding,major histocompatibility complex%2C class I%2C B,1.5,49.3,
chr7_hap1_hsa8,130656000,130657000,Central,8.988460798,8.929482412,0.439747,COL14A1,protein_coding,collagen type XIV alpha 1 chain,4.2,96.4,
chr9_hap1_hsa11,27038000,27039000,Eastern,13.02785531,8.928105134,0.512828364,GAS2,protein_coding,growth arrest specific 2,1.2,27.2,
chr3_hap1_hsa4,73592000,73593000,Eastern,11.8508135,8.92803473,0.572192612,CRACD,protein_coding,capping protein inhibiting regulator of actin dynamics,3.6,99.9,
chr23_hap1_hsa22,36190000,36191000,Central,8.954961731,8.927963002,0.579451406,LOC134809724,lncRNA,uncharacterized LOC134809724,3.7,83.6,
chr2_hap1_hsa3,199804000,199805000,Central,9.131488748,8.927908399,0.544867374,NRROS,protein_coding,negative regulator of reactive oxygen species,0,31.1,
chr18_hap1_hsa16,88209000,88210000,Central,9.65260305,8.92684315,0.561607079,LOC104002732,protein_coding,AFG3-like protein 1,1.3,48.8,
chr3_hap1_hsa4,38171000,38172000,Eastern,13.00183751,8.926653553,0.543449346,PGM2,protein_coding,phosphoglucomutase 2,4,96.9,
chr22_hap1_hsa21,25823000,25824000,Central,8.932875613,8.925861976,0.350646696,LOC104005788,lncRNA,uncharacterized LOC104005788,3.3,61.4,
chr7_hap1_hsa8,140041000,140042000,Central,9.017507282,8.924420062,0.516681294,GSDMC,protein_coding,gasdermin C,3.2,80.2,
chr7_hap1_hsa8,57617000,57618000,Central,8.924863494,8.923483666,0.556472749,PPDPFL,protein_coding,pancreatic progenitor cell differentiation and proliferation factor like,0,100,
chr9_hap1_hsa11,136429000,136430000,Central,8.963359298,8.918627237,0.397837669,LOC100614081,protein_coding,uncharacterized LOC100614081,1.1,99.8,
chr18_hap1_hsa16,79685000,79686000,Central,9.580022513,8.918386557,0.592745443,CMIP,protein_coding,c-Maf inducing protein,4,71.6,
chr10_hap1_hsa12,136657000,136658000,Western,16.38152449,8.91073588,0.922251493,TMEM132D,protein_coding,transmembrane protein 132D,1.2,48.5,
chr4_hap1_hsa5,175303000,175304000,Central,10.0048484,8.90985019,0.50441667,LOC104006651,lncRNA,uncharacterized LOC104006651,1.9,23.7,
chr8_hap1_hsa10,26831000,26832000,Central,10.95847222,8.908297314,0.689903717,FRMD4A,protein_coding,FERM domain containing 4A,0,100,
chr9_hap1_hsa11,135741000,135742000,Eastern,13.35050375,8.901523804,0.442774921,SPATA19,protein_coding,spermatogenesis associated 19,0,47.9,
chr6_hap1_hsa7,159382000,159383000,Central,9.655583468,8.900518125,0.462640156,OR2A2,protein_coding,olfactory receptor family 2 subfamily A member 2,1.1,91.1,
chr18_hap1_hsa16,61303000,61304000,Central,8.915523449,8.893917068,0.551339007,LOC134808817,lncRNA,uncharacterized LOC134808817,4,99.1,
chr9_hap1_hsa11,127972000,127973000,Central,9.405402812,8.889690668,0.386922561,CDON,protein_coding,cell adhesion associated%2C oncogene regulated,3.3,64.1,
chr1_hap1_hsa1,214212000,214213000,Central,9.499894531,8.888059402,0.557247408,ATP13A2,protein_coding,ATPase cation transporting 13A2,5,21,
chr6_hap1_hsa7,54679000,54680000,Central,11.53962797,8.887045005,0.717587757,LOC129144556,lncRNA,uncharacterized LOC129144556,0,21.1,
chr21_hap1_hsa20,69990000,69991000,Eastern,13.9148148,8.88625943,0.669776064,STMN3,protein_coding,stathmin 3,1.5,22.1,
chr9_hap1_hsa11,7787000,7788000,Central,10.50288594,8.886254134,0.62351526,ART1,protein_coding,ADP-ribosyltransferase 1,0,38.1,
chr11_hap1_hsa9,21301000,21302000,Central,8.984042495,8.883428293,0.503410117,ASTN2,protein_coding,astrotactin 2,4,99.8,
chr17_hap1_hsa18,70729000,70730000,Eastern,12.11902991,8.876016929,0.76653169,LOC112206266,lncRNA,uncharacterized LOC112206266,2.4,99.9,
chr13_hap1_hsa2b,39060000,39061000,Central,8.88620598,8.871233103,0.540355762,THSD7B,protein_coding,thrombospondin type 1 domain containing 7B,0,100,
chr6_hap1_hsa7,35229000,35230000,Central,8.914533689,8.870690075,0.517230129,CHN2,protein_coding,chimerin 2,0,99.9,
chr5_hap1_hsa6,44301000,44302000,Central,8.982366838,8.869018364,0.304880101,BTBD9,protein_coding,BTB domain containing 9,1.9,100,
chr1_hap1_hsa1,29028000,29029000,Central,8.871007249,8.866661387,0.55433897,IARS2,protein_coding,isoleucyl-tRNA synthetase 2%2C mitochondrial,1.3,84.3,
chr23_hap1_hsa22,48996000,48997000,Central,9.023132203,8.858058691,0.591349882,TBC1D22A,protein_coding,TBC1 domain family member 22A,1.3,23.1,
chr21_hap1_hsa20,7655000,7656000,Central,9.27461193,8.857470198,0.580754329,RSPO4,protein_coding,R-spondin 4,0,55,
chr22_hap1_hsa21,38983000,38984000,Central,8.874036045,8.857096805,0.348172724,KCNJ15,protein_coding,potassium inwardly rectifying channel subfamily J member 15,3.6,75,
chr1_hap1_hsa1,165452000,165453000,Central,8.869518664,8.85497233,0.537352961,LEPR,protein_coding,leptin receptor,3.6,25.4,
chr18_hap1_hsa16,2784000,2785000,Central,14.81156969,8.854039909,1.006944168,RAB11FIP3,protein_coding,RAB11 family interacting protein 3,3.2,53.2,
chr7_hap1_hsa8,22633000,22634000,Western,14.67434319,8.852806957,0.902313804,SGCZ,protein_coding,sarcoglycan zeta,0,99.8,
chr20_hap1_hsa19,57039000,57040000,Western,17.78741873,8.852540082,1.04559135,LILRB3,protein_coding,leukocyte immunoglobulin like receptor B3,3.3,20.1,
chr3_hap1_hsa4,5443000,5444000,Central,8.985284833,8.847170959,0.517476603,STK32B,protein_coding,serine/threonine kinase 32B,1.2,100,
chr4_hap1_hsa5,15898000,15899000,Central,11.85684683,8.845856375,0.667605117,LOC104006356,lncRNA,uncharacterized LOC104006356,0.9,28.2,
chr23_hap1_hsa22,36822000,36823000,Central,8.870181001,8.845571324,0.517021243,LOC134809725,lncRNA,uncharacterized LOC134809725,0,100,
chr20_hap1_hsa19,57454000,57455000,Western,15.63095087,8.838027261,0.783427558,LILRB1,protein_coding,leukocyte immunoglobulin like receptor B1,2.8,81.7,
chr10_hap1_hsa12,10204000,10205000,Central,9.055525484,8.835408696,0.488878294,TEAD4,protein_coding,TEA domain transcription factor 4,2.2,51.4,
chr9_hap1_hsa11,24901000,24902000,Central,9.088844585,8.834622818,0.30713745,NELL1,protein_coding,neural EGFL like 1,0,65.9,
chr13_hap1_hsa2b,68330000,68331000,Central,8.838885995,8.825889294,0.550733629,SCN9A,protein_coding,sodium voltage-gated channel alpha subunit 9,2.9,71.7,
chr4_hap1_hsa5,19270000,19271000,Eastern,12.28978782,8.819658059,0.594514297,LOC134810063,lncRNA,uncharacterized LOC134810063,2.3,99.8,
chr8_hap1_hsa10,62780000,62781000,Central,9.150516284,8.817484952,0.538146983,SGMS1,protein_coding,sphingomyelin synthase 1,2.8,99.9,
chr6_hap1_hsa7,6595000,6596000,Eastern,11.16865611,8.815098741,0.727876876,PRKAR1B,protein_coding,protein kinase cAMP-dependent type I regulatory subunit beta,4,40.2,
chr9_hap1_hsa11,128921000,128922000,Central,8.817797361,8.810117047,0.468865586,KIRREL3,protein_coding,kirre like nephrin family adhesion molecule 3,0,97.6,
chr21_hap1_hsa20,69401000,69402000,Central,8.918397132,8.809276992,0.576887437,LOC104003648,lncRNA,uncharacterized LOC104003648,0,39.9,
chr4_hap1_hsa5,31749000,31750000,Central,8.87377176,8.808799525,0.57585381,EDIL3,protein_coding,EGF like repeats and discoidin domains 3,2.4,90.8,
chr13_hap1_hsa2b,24898000,24899000,Eastern,10.56570153,8.807856947,0.677092532,CNTNAP5,protein_coding,contactin associated protein family member 5,2.5,29.9,
